UID,SAM_CODE,LAB,ALUMINUM_BATCH_ID,AMMONIA_N_BATCH_ID,ANC_BATCH_ID,CALCIUM_BATCH_ID,CHLORIDE_BATCH_ID,COLOR_BATCH_ID,COND_BATCH_ID,DOC_BATCH_ID,MAGNESIUM_BATCH_ID,NITRATE_N_BATCH_ID,NITRATE_NITRITE_N_BATCH_ID,NITRITE_N_BATCH_ID,NTL_BATCH_ID,PH_BATCH_ID,POTASSIUM_BATCH_ID,PTL_BATCH_ID,SILICA_BATCH_ID,SODIUM_BATCH_ID,SULFATE_BATCH_ID,TOC_BATCH_ID,TSS_BATCH_ID,TURB_BATCH_ID,ALUMINUM_UNITS,AMMONIA_N_UNITS,ANC_UNITS,CALCIUM_UNITS,CHLORIDE_UNITS,COLOR_UNITS,COND_UNITS,DOC_UNITS,MAGNESIUM_UNITS,NITRATE_N_UNITS,NITRATE_NITRITE_N_UNITS,NITRITE_N_UNITS,NTL_UNITS,PH_UNITS,POTASSIUM_UNITS,PTL_UNITS,SILICA_UNITS,SODIUM_UNITS,SULFATE_UNITS,TOC_UNITS,TSS_UNITS,TURB_UNITS,ALUMINUM_DATE_ANALYZED,ALUMINUM_HOLDING_TIME,ALUMINUM_LAB_FLAG,ALUMINUM_LAB_SAMPLE_ID,ALUMINUM_MDL,ALUMINUM_QA_FLAG,ALUMINUM_RESULT,ALUMINUM_RL,AMMONIA_N_DATE_ANALYZED,AMMONIA_N_HOLDING_TIME,AMMONIA_N_LAB_FLAG,AMMONIA_N_LAB_SAMPLE_ID,AMMONIA_N_MDL,AMMONIA_N_QA_FLAG,AMMONIA_N_RESULT,AMMONIA_N_RL,ANC_DATE_ANALYZED,ANC_HOLDING_TIME,ANC_LAB_FLAG,ANC_LAB_SAMPLE_ID,ANC_QA_FLAG,ANC_RESULT,CALCIUM_DATE_ANALYZED,CALCIUM_HOLDING_TIME,CALCIUM_LAB_FLAG,CALCIUM_LAB_SAMPLE_ID,CALCIUM_MDL,CALCIUM_QA_FLAG,CALCIUM_RESULT,CALCIUM_RL,CHLORIDE_DATE_ANALYZED,CHLORIDE_HOLDING_TIME,CHLORIDE_LAB_FLAG,CHLORIDE_LAB_SAMPLE_ID,CHLORIDE_MDL,CHLORIDE_QA_FLAG,CHLORIDE_RESULT,CHLORIDE_RL,COLOR_DATE_ANALYZED,COLOR_HOLDING_TIME,COLOR_LAB_FLAG,COLOR_LAB_SAMPLE_ID,COLOR_MDL,COLOR_QA_FLAG,COLOR_RESULT,COLOR_RL,COND_DATE_ANALYZED,COND_HOLDING_TIME,COND_LAB_FLAG,COND_LAB_SAMPLE_ID,COND_MDL,COND_QA_FLAG,COND_RESULT,COND_RL,DOC_DATE_ANALYZED,DOC_HOLDING_TIME,DOC_LAB_FLAG,DOC_LAB_SAMPLE_ID,DOC_MDL,DOC_QA_FLAG,DOC_RESULT,DOC_RL,MAGNESIUM_DATE_ANALYZED,MAGNESIUM_HOLDING_TIME,MAGNESIUM_LAB_FLAG,MAGNESIUM_LAB_SAMPLE_ID,MAGNESIUM_MDL,MAGNESIUM_QA_FLAG,MAGNESIUM_RESULT,MAGNESIUM_RL,NITRATE_N_DATE_ANALYZED,NITRATE_N_HOLDING_TIME,NITRATE_N_LAB_FLAG,NITRATE_N_LAB_SAMPLE_ID,NITRATE_N_MDL,NITRATE_N_QA_FLAG,NITRATE_N_RESULT,NITRATE_N_RL,NITRATE_NITRITE_N_DATE_ANALYZED,NITRATE_NITRITE_N_HOLDING_TIME,NITRATE_NITRITE_N_LAB_FLAG,NITRATE_NITRITE_N_LAB_SAMPLE_ID,NITRATE_NITRITE_N_MDL,NITRATE_NITRITE_N_QA_FLAG,NITRATE_NITRITE_N_RESULT,NITRATE_NITRITE_N_RL,NITRITE_N_DATE_ANALYZED,NITRITE_N_HOLDING_TIME,NITRITE_N_LAB_FLAG,NITRITE_N_LAB_SAMPLE_ID,NITRITE_N_MDL,NITRITE_N_QA_FLAG,NITRITE_N_RESULT,NITRITE_N_RL,NTL_DATE_ANALYZED,NTL_HOLDING_TIME,NTL_LAB_FLAG,NTL_LAB_SAMPLE_ID,NTL_MDL,NTL_QA_FLAG,NTL_RESULT,NTL_RL,PH_DATE_ANALYZED,PH_HOLDING_TIME,PH_LAB_FLAG,PH_LAB_SAMPLE_ID,PH_QA_FLAG,PH_RESULT,POTASSIUM_DATE_ANALYZED,POTASSIUM_HOLDING_TIME,POTASSIUM_LAB_FLAG,POTASSIUM_LAB_SAMPLE_ID,POTASSIUM_MDL,POTASSIUM_QA_FLAG,POTASSIUM_RESULT,POTASSIUM_RL,PTL_DATE_ANALYZED,PTL_HOLDING_TIME,PTL_LAB_FLAG,PTL_LAB_SAMPLE_ID,PTL_MDL,PTL_QA_FLAG,PTL_RESULT,PTL_RL,SILICA_DATE_ANALYZED,SILICA_HOLDING_TIME,SILICA_LAB_FLAG,SILICA_LAB_SAMPLE_ID,SILICA_MDL,SILICA_QA_FLAG,SILICA_RESULT,SILICA_RL,SODIUM_DATE_ANALYZED,SODIUM_HOLDING_TIME,SODIUM_LAB_SAMPLE_ID,SODIUM_MDL,SODIUM_QA_FLAG,SODIUM_RESULT,SODIUM_RL,SULFATE_DATE_ANALYZED,SULFATE_HOLDING_TIME,SULFATE_LAB_FLAG,SULFATE_LAB_SAMPLE_ID,SULFATE_MDL,SULFATE_QA_FLAG,SULFATE_RESULT,SULFATE_RL,NO3toP,TOC_HOLDING_TIME,TOC_RESULT,TSS_DATE_ANALYZED,TSS_HOLDING_TIME,TSS_LAB_SAMPLE_ID,TSS_MDL,TSS_QA_FLAG,TSS_RESULT,TSS_RL,TURB_DATE_ANALYZED,TURB_HOLDING_TIME,TURB_LAB_FLAG,TURB_LAB_SAMPLE_ID,TURB_MDL,TURB_QA_FLAG,TURB_RESULT,TURB_RL,ANC_FLAG,CALCIUM_FLAG,CHLORIDE_FLAG,COLOR_FLAG,COND_FLAG,DOC_FLAG,MAGNESIUM_FLAG,NITRATE_N_FLAG,NITRATE_NITRITE_N_FLAG,NTL_FLAG,PH_FLAG,POTASSIUM_FLAG,PTL_FLAG,SILICA_FLAG,SODIUM_FLAG,SULFATE_FLAG,TSS_FLAG,TURB_FLAG,CHEM_SAMPLE_ID,CHEM_SHIP_FLAG,NUTS_SAMPLE_ID,NUTS_SHIP_FLAG,SITE_ID,VISIT_NO,DATE_COL,ELEVATION,EPA_REG,EVAL_NAME,HUC2,HUC8,LAT_DD83,LON_DD83,ST_SITEID,ST_STRATUM,XCOORD,YCOORD
6449,REGULAR,WRS,110731.1,120613.1,120607.1,120731.1,120611.1,120607.1,120607.1,120619.1,120731.1,120608.1,120608.1,120608.1,120618.1,120607.1,120731.1,120618.1,120607.1,120731.1,120611.1,,,120607.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/31/2012,55,<LRL (0.02),1210067,0.01,ND,0,0.02,6/13/2012,7,,1210067,0.002,,0.0089,0.004,6/7/2012,1,,1210067,,2559,7/31/2012,55,,1210067,0.02,,91.54,0.04,6/11/2012,5,,1210067,0.03,,1025.723,0.06,6/7/2012,1,,1210067,,,8,5,6/7/2012,1,,1210067,,,4200,2,6/19/2012,13,,1210067,0.1,,8.25,0.2,7/31/2012,55,,1210067,0.01,,89.25,0.02,6/8/2012,2,<LRL (0.02),1210067,0.01,ND,0,0.02,6/8/2012,2,,1210067,0.01,ND,0,0.02,6/8/2012,2,<LRL (0.02),1210067,0.01,ND,0,0.02,6/18/2012,12,,1210067,0.01,,1.258,0.02,6/7/2012,1,,1210067,,8.55,7/31/2012,55,,1210067,0.04,,29.73,0.08,6/18/2012,12,,1210067,2,,72,4,6/7/2012,1,,1210067,0.005,,1.885,0.01,7/31/2012,55,1210067,0.02,,639.5,0.04,6/11/2012,5,,1210067,0.09,,489.814,0.18,0,NA,NA,,NA,,,,NA,NA,6/7/2012,1,,1210067,,,15.73,2,,,,,,,,,,,,,,,,,,,620120,,620123,,NLA12_UT_128,1,6/6/2012,1299.81,Region_8,Stansbury Lake,16,16020304,40.63982287,-112.3104436,NLA12_UT_128,UT_NLA12NEW,_1361224.906,468968.9474
6451,REGULAR,PADEP,NA,0911_907,0911_907,0911_907,0911_907,0911_907,0911_907,0911_907,0911_907,0911_907,0911_907,NA,0911_907,0911_907,0911_907,0911_907,0911_907,0911_907,0911_907,,0911_907,0911_907,,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg/L,,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,mg/L,NTU,,NA,,NA,NA,,NA,NA,,NA,,1563186,0.00672,,0.5,0.02,,NA,,1563186,,852.4,,NA,,1563186,0.02237,,12.9,0.03,,NA,,1563186,0.04373,,8.67,0.5,,NA,,1563186,,,40,5,,NA,,1563186,N/A,,127,1,,NA,,1563186,0.03664,,2.82,0.5,,NA,,1563186,0.00307,,3.042,0.01,,NA,,1563186,0.01399,,0.13,0.04,,NA,,1563186,0.0163,,0.1,0.05,,NA,,NA,NA,,NA,NA,,NA,,1563186,0.02214,,0.96,0.25,,NA,,1563186,H,7.5,,NA,,1563186,0.08703,,1.44,1,,NA,,1563186,3.05,,41,10,,NA,,1563186,0.06282,,6.985,1.07,,NA,1563186,0.0322,,5.394,0.2,,NA,,1563186,0.07863,,9.36,1,0.003170732,NA,NA,,NA,1563186,N/A,L,0,5,,NA,,1563186,0.2045,,9.16,1,,,,,,,,,,,LAB2,,,,,,LAB1,,620840,,620843,,NLA12_PA_107,1,6/6/2012,551.86,Region_3,Stoughton Lake,5,5010007,40.16178738,-79.05238419,NLA12_PA_107,PA_NLA07RVT,1423346.681,425571.0137
6456,REGULAR,WRS,110731.1,120613.1,120608.1,120731.1,120608.1,120608.1,120608.1,120619.1,120731.1,120608.1,120608.1,120608.1,120618.1,120608.1,120731.1,120618.1,120612.1,120731.1,120608.1,,,120608.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/31/2012,54,<LRL (0.02),1210077,0.01,L,0.012,0.02,6/13/2012,6,,1210077,0.002,,0.011,0.004,6/8/2012,1,,1210077,,2514,7/31/2012,54,,1210077,0.02,,48.1,0.04,6/8/2012,1,,1210077,0.03,,3.459,0.06,6/8/2012,1,,1210077,,,14,5,6/8/2012,1,,1210077,,,262,2,6/19/2012,12,,1210077,0.1,,4.14,0.2,7/31/2012,54,,1210077,0.01,,3.34,0.02,6/8/2012,1,<LRL (0.02),1210077,0.01,ND,0,0.02,6/8/2012,1,,1210077,0.01,ND,0,0.02,6/8/2012,1,<LRL (0.02),1210077,0.01,ND,0,0.02,6/18/2012,11,,1210077,0.01,,0.65,0.02,6/8/2012,1,,1210077,,8.52,7/31/2012,54,,1210077,0.04,,2.252,0.08,6/18/2012,11,,1210077,2,,47,4,6/12/2012,5,,1210077,0.005,,4.97,0.01,7/31/2012,54,1210077,0.02,,3.348,0.04,6/8/2012,1,,1210077,0.09,,9.066,0.18,0,NA,NA,,NA,,,,NA,NA,6/8/2012,1,,1210077,,,4.26,2,,,,,,,,,,,,,,,,,,,625670,,625673,,NLA12_KS_R02,1,6/7/2012,269.91,Region_7,MOUND CITY LAKE,10,10290102,38.12220448,-94.8915798,NLA12_KS_R02,,96249.90281,70296.92691
6462,REGULAR,WRS,110731.1,120613.1,120607.1,120731.1,120608.1,120607.1,120607.1,120619.1,120731.1,120608.1,120608.1,120608.1,120618.1,120607.1,120731.1,120618.1,120607.1,120731.1,120608.1,,,120607.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/31/2012,56,,1210074,0.01,,0.055,0.02,6/13/2012,8,,1210074,0.002,,0.016,0.004,6/7/2012,2,,1210074,,1613,7/31/2012,56,,1210074,0.02,,27.8,0.04,6/8/2012,3,,1210074,0.03,,12.149,0.06,6/7/2012,2,,1210074,,,16,5,6/7/2012,2,,1210074,,,218,2,6/19/2012,14,,1210074,0.1,,7.45,0.2,7/31/2012,56,,1210074,0.01,,5.071,0.02,6/8/2012,3,,1210074,0.01,,0.088,0.02,6/8/2012,3,,1210074,0.01,,0.092,0.02,6/8/2012,3,<LRL (0.02),1210074,0.01,L,0.004,0.02,6/18/2012,13,,1210074,0.01,,1.068,0.02,6/7/2012,2,,1210074,,8.87,7/31/2012,56,,1210074,0.04,,6.084,0.08,6/18/2012,13,,1210074,2,,67,4,6/7/2012,2,,1210074,0.005,,1.18,0.01,7/31/2012,56,1210074,0.02,,8.159,0.04,6/8/2012,3,,1210074,0.09,,11.24,0.18,0.001313433,NA,NA,,NA,,,,NA,NA,6/7/2012,2,,1210074,,,6.6,2,,,,,,,,,,,,,,,,,,,629300,,629303,,NLA12_MO_109,1,6/5/2012,230.21,Region_7,Teal Lake,7,7110006,39.15347063,-91.87233538,NLA12_MO_109,MO_NLA12NEW,353303.1485,192998.8417
6464,REGULAR,WRS,110731.1,120613.1,120608.1,120731.1,120608.1,120608.1,120608.1,120619.1,120731.1,120608.1,120608.1,120608.1,120618.1,120608.1,120731.1,120618.1,120612.1,120731.1,120608.1,,,120608.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/31/2012,54,<LRL (0.02),1210079,0.01,ND,0.004,0.02,6/13/2012,6,,1210079,0.002,,0.014,0.004,6/8/2012,1,,1210079,,2746,7/31/2012,54,,1210079,0.02,,30.55,0.04,6/8/2012,1,,1210079,0.03,,7.301,0.06,6/8/2012,1,,1210079,,,17,5,6/8/2012,1,,1210079,,,284,2,6/19/2012,12,,1210079,0.1,,10.42,0.2,7/31/2012,54,,1210079,0.01,,16.14,0.02,6/8/2012,1,<LRL (0.02),1210079,0.01,ND,0,0.02,6/8/2012,1,,1210079,0.01,ND,0,0.02,6/8/2012,1,<LRL (0.02),1210079,0.01,ND,0,0.02,6/18/2012,11,,1210079,0.01,,2.401,0.02,6/8/2012,1,,1210079,,8.64,7/31/2012,54,,1210079,0.04,,3.071,0.08,6/18/2012,11,,1210079,2,,240,4,6/12/2012,5,,1210079,0.005,,18.383,0.01,7/31/2012,54,1210079,0.02,,3.876,0.04,6/8/2012,1,,1210079,0.09,,6.381,0.18,0,NA,NA,,NA,,,,NA,NA,6/8/2012,1,,1210079,,,43.78,2,,,,,,,,,,,,,,,,,,,629360,,629363,,NLA12_IA_132,1,6/7/2012,372.18,Region_7,Morse Lake,7,7080207,42.8383562,-93.69187566,NLA12_IA_132,IA_NLA12NEW,187585.7971,600134.6938
6469,REGULAR,WRS,110731.1,120613.1,120608.1,120731.1,120608.1,120608.1,120608.1,120619.1,120731.1,120608.1,120608.1,120608.1,120618.1,120608.1,120731.1,120618.1,120612.1,120731.1,120608.1,,,120608.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/31/2012,55,,1210081,0.01,,0.035,0.02,6/13/2012,7,,1210081,0.002,,0.0043,0.004,6/8/2012,2,,1210081,,616.6,7/31/2012,55,,1210081,0.02,,7.216,0.04,6/8/2012,2,,1210081,0.03,,3.82,0.06,6/8/2012,2,,1210081,,,28,5,6/8/2012,2,,1210081,,,77.6,2,6/19/2012,13,,1210081,0.1,,5.18,0.2,7/31/2012,55,,1210081,0.01,,2.106,0.02,6/8/2012,2,<LRL (0.02),1210081,0.01,L,0.019,0.02,6/8/2012,2,,1210081,0.01,L,0.019,0.02,6/8/2012,2,<LRL (0.02),1210081,0.01,ND,0,0.02,6/18/2012,12,,1210081,0.01,,0.49,0.02,6/8/2012,2,,1210081,,7.62,7/31/2012,55,,1210081,0.04,,2.431,0.08,6/18/2012,12,,1210081,2,,66,4,6/12/2012,6,,1210081,0.005,,9.856,0.01,7/31/2012,55,1210081,0.02,,3.809,0.04,6/8/2012,2,,1210081,0.09,,1.995,0.18,0.000287879,NA,NA,,NA,,,,NA,NA,6/8/2012,2,,1210081,,,6.9,2,,,,,,,,,,,,,,,,,,,627890,,627893,,NLA12_NC_116,1,6/6/2012,251.63,Region_4,Greensboro Country Park Lake Five B,3,3030002,36.12929344,-79.83690419,NLA12_NC_116,NC_NLA12NEW,1434597.258,_31277.43045
6470,REGULAR,WRS,110731.1,120613.1,120608.1,120731.1,120608.1,120608.1,120608.1,120619.1,120731.1,120608.1,120608.1,120608.1,120618.1,120608.1,120731.1,120618.1,120612.1,120731.1,120608.1,,,120608.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/31/2012,55,<LRL (0.02),1210085,0.01,ND,0,0.02,6/13/2012,7,,1210085,0.002,,0.017,0.004,6/8/2012,2,,1210085,,1642,7/31/2012,55,,1210085,0.02,,19.41,0.04,6/8/2012,2,,1210085,0.03,,8.211,0.06,6/8/2012,2,,1210085,,,15,5,6/8/2012,2,,1210085,,,184.3,2,6/19/2012,13,,1210085,0.1,,7.31,0.2,7/31/2012,55,,1210085,0.01,,8.472,0.02,6/8/2012,2,<LRL (0.02),1210085,0.01,ND,0,0.02,6/8/2012,2,,1210085,0.01,ND,0,0.02,6/8/2012,2,<LRL (0.02),1210085,0.01,ND,0,0.02,6/18/2012,12,,1210085,0.01,,0.688,0.02,6/8/2012,2,,1210085,,8.24,7/31/2012,55,,1210085,0.04,,1.567,0.08,6/18/2012,12,,1210085,2,,28,4,6/12/2012,6,,1210085,0.005,,1.027,0.01,7/31/2012,55,1210085,0.02,,3.855,0.04,6/8/2012,2,<LRL (0.18),1210085,0.09,L,0.179,0.18,0,NA,NA,,NA,,,,NA,NA,6/8/2012,2,,1210085,,L,0.79,2,,,,,,,,,,,,,,,,,,,628970,,628973,,NLA12_MN_145,1,6/6/2012,277.13,Region_5,Terrapin Lake,7,7030005,45.18204986,-92.81783999,NLA12_MN_145,MN_NLA12NEW,249848.5078,863371.663
6471,REGULAR,WRS,110731.1,120613.1,120609.1,120731.1,120611.1,120609.1,120609.1,120619.1,120731.1,120611.1,120611.1,120611.1,120625.1,120609.1,120731.1,120618.1,120612.1,120731.1,120611.1,,,120609.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/31/2012,54,<LRL (0.02),1210089,0.01,ND,0.003,0.02,6/13/2012,6,,1210089,0.002,,0.022,0.004,6/9/2012,2,,1210089,,2451,7/31/2012,54,,1210089,0.02,,18.93,0.04,6/11/2012,4,,1210089,0.03,,149.797,0.06,6/9/2012,2,,1210089,,,29,5,6/9/2012,2,,1210089,,,750,2,6/19/2012,12,,1210089,0.1,,18.31,0.2,7/31/2012,54,,1210089,0.01,,12.78,0.02,6/11/2012,4,<LRL (0.02),1210089,0.01,ND,0.002,0.02,6/11/2012,4,,1210089,0.01,ND,0.002,0.02,6/11/2012,4,<LRL (0.02),1210089,0.01,ND,0,0.02,6/25/2012,18,,1210089,0.01,,4.9,0.02,6/9/2012,2,,1210089,,9.85,7/31/2012,54,,1210089,0.04,,9.288,0.08,6/18/2012,11,,1210089,2,,524,4,6/12/2012,5,,1210089,0.005,,17.887,0.01,7/31/2012,54,1210089,0.02,,104.5,0.04,6/11/2012,4,,1210089,0.09,,14.414,0.18,3.82E-06,NA,NA,,NA,,,,NA,NA,6/9/2012,2,,1210089,,,35.12,2,,,,,,,,,,,,,,,,,,,629060,,629063,,NLA12_MN_118,1,6/7/2012,302.17,Region_5,South Lake,7,7010205,44.94545187,-94.0350912,NLA12_MN_118,MN_NLA07RVT,154837.6445,834464.8123
6472,REGULAR,WRS,121022.1,120613.1,120609.1,121022.1,120611.1,120609.1,120609.1,120622.1,121022.1,120611.1,120611.1,120611.1,120618.1,120609.1,121022.1,120618.1,120612.1,121022.1,120611.1,,,120609.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/22/2012,137,<LRL (0.02),1210094,0.01,ND,0.002,0.02,6/13/2012,6,,1210094,0.002,,0.026,0.004,6/9/2012,2,,1210094,,1912,10/22/2012,137,,1210094,0.02,,29.07,0.04,6/11/2012,4,,1210094,0.03,,63.877,0.06,6/9/2012,2,,1210094,,,14,5,6/9/2012,2,,1210094,,,407,2,6/22/2012,15,,1210094,0.1,,7.33,0.2,10/22/2012,137,,1210094,0.01,,10.29,0.02,6/11/2012,4,<LRL (0.02),1210094,0.01,ND,0.003,0.02,6/11/2012,4,,1210094,0.01,ND,0.003,0.02,6/11/2012,4,<LRL (0.02),1210094,0.01,ND,0,0.02,6/18/2012,11,,1210094,0.01,,0.679,0.02,6/9/2012,2,,1210094,,8.64,10/22/2012,137,,1210094,0.04,,2.142,0.08,6/18/2012,11,,1210094,2,,20,4,6/12/2012,5,,1210094,0.005,,0.948,0.01,10/22/2012,137,1210094,0.02,,38.45,0.04,6/11/2012,4,,1210094,0.09,,9.482,0.18,0.00015,NA,NA,,NA,,,,NA,NA,6/9/2012,2,,1210094,,,1.12,2,,,,,,,,,,,,,,,,,,,632030,,632033,,NLA12_MN_111,1,6/7/2012,270.25,Region_5,Snail Lake,7,7010206,45.07573342,-93.12970047,NLA12_MN_111,MN_NLA07RVT,225727.6741,850770.2545
6475,REGULAR,WRS,110731.1,120613.1,120609.1,120731.1,120611.1,120609.1,120609.1,120619.1,120731.1,120611.1,120611.1,120611.1,120618.1,120609.1,120731.1,120618.1,120612.1,120731.1,120611.1,,,120609.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/31/2012,54,<LRL (0.02),1210086,0.01,L,0.012,0.02,6/13/2012,6,,1210086,0.002,,0.012,0.004,6/9/2012,2,,1210086,,7240,7/31/2012,54,,1210086,0.02,,42.42,0.04,6/11/2012,4,,1210086,0.03,,9.869,0.06,6/9/2012,2,,1210086,,,15,5,6/9/2012,2,,1210086,,,832,2,6/19/2012,12,,1210086,0.1,,10.12,0.2,7/31/2012,54,,1210086,0.01,,71.81,0.02,6/11/2012,4,<LRL (0.02),1210086,0.01,ND,0,0.02,6/11/2012,4,,1210086,0.01,ND,0,0.02,6/11/2012,4,<LRL (0.02),1210086,0.01,ND,0,0.02,6/18/2012,11,,1210086,0.01,,2.408,0.02,6/9/2012,2,,1210086,,8.78,7/31/2012,54,,1210086,0.04,,19.97,0.08,6/18/2012,11,,1210086,2,,274,4,6/12/2012,5,,1210086,0.005,,42.903,0.01,7/31/2012,54,1210086,0.02,,33.58,0.04,6/11/2012,4,,1210086,0.09,,119.382,0.18,0,NA,NA,,NA,,,,NA,NA,6/9/2012,2,,1210086,,,30.51,2,,,,,,,,,,,,,,,,,,,632120,,632123,,NLA12_ND_104,1,6/7/2012,568.2,Region_8,Cottonwood Lake,10,10130101,47.61488972,-100.8270091,NLA12_ND_104,ND_NLA07RVT,_365209.8943,1138155.02
6476,REGULAR,WRS,121022.1,120613.1,120609.1,121022.1,120611.1,120609.1,120609.1,120628.1,121022.1,120611.1,120611.1,120611.1,120625.1,120609.1,121022.1,120618.1,120612.1,121022.1,120613.1,,,120609.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/22/2012,137,<LRL (0.02),1210093,0.01,ND,0,0.02,6/13/2012,6,,1210093,0.002,,0.302,0.004,6/9/2012,2,,1210093,,8131,10/22/2012,137,,1210093,0.02,,114.7,0.04,6/11/2012,4,,1210093,0.03,,186.281,0.06,6/9/2012,2,,1210093,,,25,5,6/9/2012,2,,1210093,,,4420,2,6/28/2012,21,,1210093,0.1,,21.51,0.2,10/22/2012,137,,1210093,0.01,,283.2,0.02,6/11/2012,4,,1210093,0.01,,0.108,0.02,6/11/2012,4,,1210093,0.01,,0.108,0.02,6/11/2012,4,<LRL (0.02),1210093,0.01,ND,0,0.02,6/25/2012,18,,1210093,0.01,,2.715,0.02,6/9/2012,2,,1210093,,8.6,10/22/2012,137,,1210093,0.04,,83.47,0.08,6/18/2012,11,,1210093,2,,230,4,6/12/2012,5,,1210093,0.005,,48.216,0.01,10/22/2012,137,1210093,0.02,,600.4,0.04,6/13/2012,6,,1210093,0.09,,2094.141,0.18,0.000469565,NA,NA,,NA,,,,NA,NA,6/9/2012,2,,1210093,,,1.66,2,,,,,,,,,,,,,,,,,,,623600,,623603,,NLA12_ND_118,1,6/7/2012,599.05,Region_8,Unnamed,10,10130104,46.36786408,-99.39845029,NLA12_ND_118,ND_NLA12NEW,_262115.1207,995570.2906
6477,REGULAR,WRS,110731.1,120613.1,120608.1,120731.1,120608.1,120608.1,120608.1,120619.1,120731.1,120608.1,120608.1,120608.1,120618.1,120608.1,120731.1,120618.1,120612.1,120731.1,120608.1,,,120608.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/31/2012,55,,1210083,0.01,,0.03,0.02,6/13/2012,7,,1210083,0.002,,0.006,0.004,6/8/2012,2,,1210083,,2117,7/31/2012,55,,1210083,0.02,,69.03,0.04,6/8/2012,2,,1210083,0.03,,16.906,0.06,6/8/2012,2,,1210083,,,16,5,6/8/2012,2,,1210083,,,558,2,6/19/2012,13,,1210083,0.1,,3.72,0.2,7/31/2012,55,,1210083,0.01,,10.95,0.02,6/8/2012,2,<LRL (0.02),1210083,0.01,ND,0,0.02,6/8/2012,2,,1210083,0.01,ND,0,0.02,6/8/2012,2,<LRL (0.02),1210083,0.01,ND,0,0.02,6/18/2012,12,,1210083,0.01,,0.939,0.02,6/8/2012,2,,1210083,,8.12,7/31/2012,55,,1210083,0.04,,2.903,0.08,6/18/2012,12,,1210083,2,,159,4,6/12/2012,6,,1210083,0.005,,0.034,0.01,7/31/2012,55,1210083,0.02,,26.77,0.04,6/8/2012,2,,1210083,0.09,,151.977,0.18,0,NA,NA,,NA,,,,NA,NA,6/8/2012,2,,1210083,,,18.3,2,,,,,,,,,,,,,,,,,,,625280,,625283,,NLA12_NM_150,1,6/6/2012,1614.29,Region_6,Bolack,14,14080101,36.7118285,-108.1531642,NLA12_NM_150,NM_NLA12NEW,_1072629.595,_19637.85894
