SITE_ID,VISIT_NO,UID,DATE_COL,ELEVATION,EPA_REG,EVAL_NAME,HUC2,HUC8,LAT_DD83,LON_DD83,ST_SITEID,ST_STRATUM,XCOORD,YCOORD
NLA12_AZ_123,1,8219,8/24/2012,57.69,Region_9,Butler Lake,15,15030104,33.0266436,_114.5090632,NLA12_AZ_123,AZ_NLA12NEW,_1707496.905,_333711.4927
NLA12_AZ_124,,,,1225.29,Region_9,,14,14070006,36.91343291,_111.4861343,NLA12_AZ_124,AZ_NLA12NEW,_1360805.719,45391.38706
NLA12_AZ_125,,,,2835.7,Region_9,Colter Reservoir,15,15020001,33.94275065,_109.4828533,NLA12_AZ_125,AZ_NLA12NEW,_1233056.159,_310590.5806
NLA12_AZ_126,,,,1763.93,Region_9,Glade Tank,15,15040007,33.66822038,_110.4468803,NLA12_AZ_126,AZ_NLA12NEW,_1325207.654,_327957.8919
NLA12_AZ_127,1,6281,5/23/2012,2072.07,Region_9,Kaibab Lake,15,15010004,35.28501346,_112.1541634,NLA12_AZ_127,AZ_NLA12NEW,_1449802.217,_124572.6661
NLA12_AZ_128,,,,1523.88,Region_9,,15,15040005,33.21395147,_109.8332003,NLA12_AZ_128,AZ_NLA12NEW,_1276680.365,_386528.6647
NLA12_AZ_129,,,,2756.05,Region_9,Basin Lake,15,15060101,33.91647418,_109.435219,NLA12_AZ_129,AZ_NLA12NEW,_1229142.682,_314114.6034
NLA12_AZ_130,1,6195,5/10/2012,533.25,Region_9,Bartlett Reservoir,15,15060203,33.84530018,_111.6185016,NLA12_AZ_130,AZ_NLA12NEW,_1428510.701,_291445.7813
NLA12_AZ_130,2,8198,8/22/2012,533.25,Region_9,Bartlett Reservoir,15,15060203,33.84530018,_111.6185016,NLA12_AZ_130,AZ_NLA12NEW,_1428510.701,_291445.7813
NLA12_AZ_131,,,,352.89,Region_9,Viewpoint Lake,15,15070102,33.60760953,_112.2848192,NLA12_AZ_131,AZ_NLA12NEW,_1493396.733,_307383.7184
NLA12_AZ_132,,,,839.42,Region_9,Unnamed,15,15040005,32.984399,_109.9412408,NLA12_AZ_132,AZ_NLA12NEW,_1290325.49,_410418.7658
NLA12_AZ_133,,,,2508,Region_9,Christmas Tree Lake,15,15060102,33.91124585,_109.7317698,NLA12_AZ_133,AZ_NLA12NEW,_1256170.215,_310815.1823
NLA12_AZ_134,,,,1946.09,Region_9,Chevelon Canyon Lake,15,15020010,34.49721809,_110.8247241,NLA12_AZ_134,AZ_NLA12NEW,_1345193.796,_231089.4487
NLA12_AZ_135,,,,145.16,Region_9,Unnamed,15,15030101,34.92945404,_114.6258019,NLA12_AZ_135,AZ_NLA12NEW,_1676718.823,_123038.0257
NLA12_AZ_136,,,,1429.05,Region_9,Unnamed,15,15080301,31.36317903,_109.870035,NLA12_AZ_136,AZ_NLA12NEW,_1310059.186,_590145.7714
NLA12_AZ_137,,,,1913.83,Region_9,Upper Corn Creek Tank,15,15060101,33.69413235,_109.8717562,NLA12_AZ_137,AZ_NLA12NEW,_1272413.754,_332955.4787
NLA12_AZ_138,,,,1447.04,Region_9,,15,15020008,35.25973579,_110.8209165,NLA12_AZ_138,AZ_NLA12NEW,_1331601.434,_146875.0604
NLA12_AZ_139,,,,60.82,Region_9,Unnamed,15,15030104,33.03287712,_114.6233405,NLA12_AZ_139,AZ_NLA12NEW,_1717768.873,_330969.5811
NLA12_AZ_140,1,7290,7/19/2012,1006.44,Region_9,Cluff Reservoir Number Three,15,15040005,32.8056793,_109.8626777,NLA12_AZ_140,AZ_NLA12NEW,_1286004.617,_431212.9491
NLA12_AZ_141,,,,2828.49,Region_9,Salt House Tank,15,15060101,33.95224152,_109.338336,NLA12_AZ_141,AZ_NLA12NEW,_1219778.519,_311405.5297
NLA12_AZ_142,,,,1018.85,Region_9,,15,15060103,33.43731387,_110.8395428,NLA12_AZ_142,AZ_NLA12NEW,_1364948.002,_347885.0937
NLA12_AZ_143,1,8320,8/30/2012,1997.64,Region_9,White Horse Lake,15,15060202,35.11670652,_112.0134231,NLA12_AZ_143,AZ_NLA12NEW,_1440450.117,_145278.548
NLA12_AZ_144,,,,1836.61,Region_9,Salt Shed Tank,15,15040005,33.35639573,_109.675053,NLA12_AZ_144,AZ_NLA12NEW,_1259905.629,_372901.7129
NLA12_AZ_145,1,8016,8/14/2012,2403.42,Region_9,Luna Lake,15,15040004,33.8293043,_109.090421,NLA12_AZ_145,AZ_NLA12NEW,_1199138.144,_328165.4046
NLA12_AZ_146,,,,479.97,Region_9,,15,15060203,33.60270971,_111.712105,NLA12_AZ_146,AZ_NLA12NEW,_1441454.423,_316766.7079
NLA12_AZ_147,,,,384.25,Region_9,,15,15050100,33.34310919,_111.9769308,NLA12_AZ_147,AZ_NLA12NEW,_1470373.772,_341299.5805
NLA12_AZ_148,,,,856.08,Region_9,,15,15050301,31.88378415,_110.9780552,NLA12_AZ_148,AZ_NLA12NEW,_1404780.868,_517019.3643
NLA12_AZ_149,,,,1822.92,Region_9,Steer Pasture Tank,15,15040005,33.41995911,_109.7097961,NLA12_AZ_149,AZ_NLA12NEW,_1262063.944,_365416.3871
NLA12_AZ_150,,,,2066.85,Region_9,Soldier Lake,15,15020008,34.79685877,_111.2335439,NLA12_AZ_150,AZ_NLA12NEW,_1376627.042,_192140.1589
NLA12_AZ_151,,,,55.13,Region_9,Gila Gravity Main Canal,15,15030107,32.79576558,_114.4960724,NLA12_AZ_151,AZ_NLA12NEW,_1711296.232,_359221.3489
NLA12_AZ_152,,,,1921.31,Region_9,,14,14080204,36.61599025,_110.4806243,NLA12_AZ_152,AZ_NLA12NEW,_1278216.104,_1481.462999
NLA12_AZ_153,,,,2055.19,Region_9,Unnamed,15,15020002,34.27396535,_109.6766716,NLA12_AZ_153,AZ_NLA12NEW,_1245350.395,_271419.598
NLA12_AZ_154,,,,2200.23,Region_9,Prime Lake,15,15020015,35.0984601,_111.530892,NLA12_AZ_154,AZ_NLA12NEW,_1397770.542,_154497.7776
NLA12_AZ_155,,,,78.38,Region_9,,15,15030104,33.57273344,_114.5342156,NLA12_AZ_155,AZ_NLA12NEW,_1697971.784,_273443.4303
NLA12_AZ_156,,,,913,Region_9,Unnamed,15,15040005,32.78969299,_109.6890611,NLA12_AZ_156,AZ_NLA12NEW,_1270266.941,_435312.8225
NLA12_AZ_157,1,8251,8/17/2012,2519.09,Region_9,Tunnel Reservoir,15,15020001,34.03125525,_109.4431103,NLA12_AZ_157,AZ_NLA12NEW,_1228051.344,_301313.3346
NLA12_AZ_R01,1,8183,8/22/2012,2220,Region_9,KNOLL LAKE,15,15020008,34.42742317,_111.0867324,NLA12_AZ_R01,,_1370003.879,_235054.6013
NLA12_AZ_R02,1,8153,8/21/2012,2041.82,Region_9,LAKE OF THE WOODS,15,15020005,34.16108989,_109.9796571,NLA12_AZ_R02,,_1274591.582,_279887.3815
NLA12_CA_101,1,7020,7/9/2012,51.12,Region_9,Nicasio Reservoir,18,18050005,38.07832575,_122.7433592,NLA12_CA_101,CA_NLA07RVT,_2293153.367,389622.7836
NLA12_CA_101,2,8759,9/24/2012,51.12,Region_9,Nicasio Reservoir,18,18050005,38.07832575,_122.7433592,NLA12_CA_101,CA_NLA07RVT,_2293153.367,389622.7836
NLA12_CA_102,1,8264,8/28/2012,818.28,Region_9,Lake Henshaw,18,18070303,33.23504244,_116.7444419,NLA12_CA_102,CA_NLA07RVT,_1905572.072,_268446.5224
NLA12_CA_103,1,7916,8/13/2012,1592.46,Region_9,French Meadows Reservoir,18,18020128,39.11326334,_120.4389061,NLA12_CA_103,CA_NLA07RVT,_2070639.438,448540.246
NLA12_CA_104,1,8483,9/11/2012,2323.16,Region_9,June Lake,18,18090101,37.78873902,_119.0738863,NLA12_CA_104,CA_NLA07RVT,_1993028.56,275507.7375
NLA12_CA_105,1,7126,7/11/2012,3.21,Region_9,Lake Greenhaven,18,18020109,38.50847142,_121.5353649,NLA12_CA_105,CA_NLA07RVT,_2179338.637,407598.6896
NLA12_CA_106,1,6250,5/22/2012,_53.27,Region_9,Ramer Lake,18,18100200,33.07900474,_115.512784,NLA12_CA_106,CA_NLA07RVT,_1797629.851,_309473.4971
NLA12_CA_107,1,8466,9/10/2012,2227.25,Region_9,Lake Alpine,18,18040010,38.47629345,_119.9996916,NLA12_CA_107,CA_NLA07RVT,_2052066.966,369924.5545
NLA12_CA_108,1,7796,8/8/2012,300.34,Region_9,Kerckhoff Lake,18,18040006,37.14922318,_119.5111573,NLA12_CA_108,CA_NLA07RVT,_2047582.569,215275.9638
NLA12_CA_109,,,,25.07,Region_9,Unnamed,18,18010110,38.39202277,_122.7824245,NLA12_CA_109,CA_NLA12NEW,_2286635.542,424339.9078
NLA12_CA_110,,,,3180.82,Region_9,Unnamed,18,18030010,36.99547226,_118.7179602,NLA12_CA_110,CA_NLA12NEW,_1983927.119,181730.0825
NLA12_CA_111,1,7341,7/19/2012,488.8,Region_9,Lake Combie,18,18020126,39.013583,_121.0410833,NLA12_CA_111,CA_NLA12NEW,_2123398.544,451032.1514
NLA12_CA_111,2,7937,8/14/2012,488.8,Region_9,Lake Combie,18,18020126,39.013583,_121.0410833,NLA12_CA_111,CA_NLA12NEW,_2123398.544,451032.1514
NLA12_CA_112,1,7424,7/25/2012,425.25,Region_9,Lake Mildred,18,18020125,39.37366934,_121.2786137,NLA12_CA_112,CA_NLA12NEW,_2132456.406,495302.4571
NLA12_CA_113,,,,45.75,Region_9,Unnamed,18,18040002,37.58201372,_120.7499359,NLA12_CA_113,CA_NLA12NEW,_2140591.57,289519.7294
NLA12_CA_114,,,,3642.97,Region_9,Unnamed,18,18040006,37.11653984,_118.7280171,NLA12_CA_114,CA_NLA12NEW,_1981575.025,195119.7971
NLA12_CA_115,,,,0,Region_9,Lake Dalwigk,18,18050002,38.09268863,_122.2406498,NLA12_CA_115,CA_NLA12NEW,_2250720.874,379152.3018
NLA12_CA_116,1,6559,6/12/2012,1658,Region_9,Castle Lake,18,18020005,41.22806098,_122.3816476,NLA12_CA_116,CA_NLA12NEW,_2166225.251,720362.0008
NLA12_CA_117,,,,63.31,Region_9,,18,18030012,35.92391255,_119.4564833,NLA12_CA_117,CA_NLA12NEW,_2076454.277,80999.47824
NLA12_CA_118,,,,2650.02,Region_9,Sherwin Lakes (north lake),18,18090102,37.6085052,_118.9426391,NLA12_CA_118,CA_NLA12NEW,_1986743.072,253148.8207
NLA12_CA_119,1,7740,8/7/2012,332.34,Region_9,New Melones Lake,18,18040010,37.95383641,_120.4968436,NLA12_CA_119,CA_NLA12NEW,_2108567.971,324143.5426
NLA12_CA_120,,,,1244.5,Region_9,,18,18010204,41.92485076,_121.6651735,NLA12_CA_120,CA_NLA12NEW,_2088048.126,779400.3848
NLA12_CA_121,1,6659,6/19/2012,199.55,Region_9,Lake Success,18,18030006,36.08284307,_118.9092314,NLA12_CA_121,CA_NLA12NEW,_2024714.22,86461.75954
NLA12_CA_122,,,,2128.43,Region_9,Unnamed,18,18020125,39.40910079,_120.5572128,NLA12_CA_122,CA_NLA12NEW,_2071966.886,483179.61
NLA12_CA_123,1,7989,8/15/2012,2445.3,Region_9,Scotts Lake,16,16050201,38.76397086,_119.9656214,NLA12_CA_123,CA_NLA12NEW,_2041170.285,400414.218
NLA12_CA_124,,,,2.69,Region_9,,18,18070304,32.97161107,_117.2640908,NLA12_CA_124,CA_NLA12NEW,_1959041.917,_286569.3833
NLA12_CA_125,,,,131.33,Region_9,Unnamed,18,18010110,38.69775682,_122.8175849,NLA12_CA_125,CA_NLA12NEW,_2280014.906,458099.737
NLA12_CA_126,,,,3279.27,Region_9,Long Lake,18,18090102,37.14453314,_118.5565952,NLA12_CA_126,CA_NLA12NEW,_1966174.616,194607.4851
NLA12_CA_127,,,,14.36,Region_9,,18,18020109,38.54496637,_121.4016263,NLA12_CA_127,CA_NLA12NEW,_2167118.057,408484.9248
NLA12_CA_128,1,7563,7/31/2012,1811.55,Region_9,Plaskett Meadows Lake,18,18010104,39.72615676,_122.8416693,NLA12_CA_128,CA_NLA12NEW,_2249884.563,569370.0045
NLA12_CA_129,,,,221.7,Region_9,Unnamed,18,18040014,36.91239065,_121.0007868,NLA12_CA_129,CA_NLA12NEW,_2181300.733,222741.8864
NLA12_CA_130,,,,1533.36,Region_9,Unnamed,18,18040009,37.95246916,_119.8398926,NLA12_CA_130,CA_NLA12NEW,_2053266.985,309610.0839
NLA12_CA_131,,,,1.06,Region_9,,18,18050001,38.03968677,_121.9482729,NLA12_CA_131,CA_NLA12NEW,_2227874.998,366544.8219
NLA12_CA_132,1,6596,6/13/2012,613.92,Region_9,Rainbow Lake,18,18020113,40.50757762,_122.6943291,NLA12_CA_132,CA_NLA12NEW,_2213591.772,650009.482
NLA12_CA_133,,,,2996.64,Region_9,Unnamed,18,18030007,36.55421116,_118.5647436,NLA12_CA_133,CA_NLA12NEW,_1982428.675,130491.7289
NLA12_CA_134,,,,3094.62,Region_9,Edna Lake,18,18040008,37.64346558,_119.3824594,NLA12_CA_134,CA_NLA12NEW,_2023111.224,266230.1349
NLA12_CA_135,1,7988,8/15/2012,2378.19,Region_9,Caples Lake,18,18020129,38.69849847,_120.0450767,NLA12_CA_135,CA_NLA12NEW,_2049629.798,395018.6894
NLA12_CA_136,,,,924.39,Region_9,Fairmont Reservoir,18,18090206,34.70582108,_118.4363027,NLA12_CA_136,CA_NLA12NEW,_2019754.538,_73360.18437
NLA12_CA_137,,,,2813.03,Region_9,Swede Lake,18,18030010,37.15682803,_119.0762205,NLA12_CA_137,CA_NLA12NEW,_2010253.76,206816.9351
NLA12_CA_138,1,8424,9/6/2012,1976.21,Region_9,Pine Lake,18,18080003,40.51311798,_121.1651745,NLA12_CA_138,CA_NLA12NEW,_2089697.685,615984.8383
NLA12_CA_139,,,,2407.32,Region_9,Heather Lake,16,16050101,38.87731661,_120.1377147,NLA12_CA_139,CA_NLA12NEW,_2052319.979,416420.2622
NLA12_CA_140,,,,59.67,Region_9,Unnamed,15,15030104,32.95613986,_114.4788688,NLA12_CA_140,CA_NLA12NEW,_1706266.976,_341973.5486
NLA12_CA_141,1,8148,8/22/2012,455.8,Region_9,Unnamed,18,18020116,39.09599481,_122.9319835,NLA12_CA_141,CA_NLA12NEW,_2276998.804,503705.5915
NLA12_CA_142,,,,3520.17,Region_9,Jumble Lake,18,18040006,37.34985049,_118.795801,NLA12_CA_142,CA_NLA12NEW,_1981159.826,221931.4181
NLA12_CA_143,1,6160,5/2/2012,13.06,Region_9,Unnamed,18,18050004,37.56448938,_121.9971818,NLA12_CA_143,CA_NLA12NEW,_2246357.58,316413.5526
NLA12_CA_144,,,,493.37,Region_9,Searles Lake,18,18090205,35.74960883,_117.3645185,NLA12_CA_144,CA_NLA12NEW,_1898904.167,18265.32717
NLA12_CA_145,1,7529,7/30/2012,55.78,Region_9,Los Alamitos Percolation Ponds,18,18050003,37.24681552,_121.8722039,NLA12_CA_145,CA_NLA12NEW,_2245400.08,279176.8668
NLA12_CA_146,,,,3250.72,Region_9,Spiller Lake,18,18040009,38.04725562,_119.370619,NLA12_CA_146,CA_NLA12NEW,_2011089.827,309873.0661
NLA12_CA_147,,,,3.7,Region_9,,18,18020109,38.36979919,_121.4692328,NLA12_CA_147,CA_NLA12NEW,_2177946.47,391095.5953
NLA12_CA_148,,,,1770.61,Region_9,Clear Lake,18,18020002,41.27565215,_120.2786052,NLA12_CA_148,CA_NLA12NEW,_1996138.02,679444.4862
NLA12_CA_149,,,,3293.04,Region_9,Lower Soldier Lake,18,18030001,36.50433554,_118.2693316,NLA12_CA_149,CA_NLA12NEW,_1958252.554,118934.4487
NLA12_CA_150,,,,2893,Region_9,Holcomb Lake,18,18040006,37.62830247,_119.1541963,NLA12_CA_150,CA_NLA12NEW,_2004165.611,259744.8027
NLA12_CA_151,,,,2347.46,Region_9,Unnamed,18,18040009,38.05838529,_119.6533195,NLA12_CA_151,CA_NLA12NEW,_2034608.167,317100.0193
NLA12_CA_152,,,,913.32,Region_9,Unnamed,18,18090206,34.51198613,_117.9165706,NLA12_CA_152,CA_NLA12NEW,_1978765.173,_105384.9259
NLA12_CA_153,,,,3250.09,Region_9,Unnamed,18,18030010,36.90269653,_118.5585057,NLA12_CA_153,CA_NLA12NEW,_1972710.119,168309.0553
NLA12_CA_154,1,7229,7/17/2012,1329.45,Region_9,Smoke Creek Reservoir,16,16040203,40.63158462,_120.00287,NLA12_CA_154,CA_NLA12NEW,_1991977.424,603852.1563
NLA12_CA_155,,,,316.54,Region_9,Unnamed,18,18020115,39.45869039,_122.5193071,NLA12_CA_155,CA_NLA12NEW,_2231829.585,532968.545
NLA12_CA_156,1,8265,8/27/2012,846.17,Region_9,Spring Valley Lake,18,18090208,34.49328953,_117.2618539,NLA12_CA_156,CA_NLA12NEW,_1921122.335,_120855.8741
NLA12_CA_157,1,6642,6/18/2012,76.93,Region_9,Lake Yosemite,18,18040001,37.3732653,_120.4335059,NLA12_CA_157,CA_NLA12NEW,_2119782.408,259811.4946
NLA12_CA_158,,,,3420.56,Region_9,Paris Lake,18,18040006,37.28182987,_118.7404838,NLA12_CA_158,CA_NLA12NEW,_1978251.145,213374.1769
NLA12_CA_159,,,,0,Region_9,Harvey Slough,18,18050001,38.14065895,_122.0883274,NLA12_CA_159,CA_NLA12NEW,_2236529.14,380730.3711
NLA12_CA_160,,,,2015.86,Region_9,Eaton Lakes,18,18010208,41.31481402,_122.9262704,NLA12_CA_160,CA_NLA12NEW,_2207039.267,742225.6784
NLA12_CA_161,,,,146.91,Region_9,Unnamed,18,18060005,36.14302805,_121.1174362,NLA12_CA_161,CA_NLA12NEW,_2213755.276,142233.4482
NLA12_CA_162,,,,2845.2,Region_9,Emeric Lake,18,18040008,37.77695733,_119.3852141,NLA12_CA_162,CA_NLA12NEW,_2019700.202,280799.3527
