UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,AG_ECO9,EPA_REG,STATE,CHEM_NOT_COLLECTED,WCHL_NOT_COLLECTED,LAB,MATRIX,SAM_CODE,CHEM_DATE_RECEIVED,CHEM_LAB_SAMPLE_ID,AMMONIA_N_BATCH_ID,AMMONIA_N_DATE_ANALYZED,AMMONIA_N_DILUTION_FACTOR,AMMONIA_N_HOLDING_TIME,AMMONIA_N_MDL,AMMONIA_N_NARS_FLAG,AMMONIA_N_QA_FLAG,AMMONIA_N_RESULT,AMMONIA_N_RL,AMMONIA_N_UNITS,ANC_BATCH_ID,ANC_DATE_ANALYZED,ANC_HOLDING_TIME,ANC_MDL,ANC_NARS_FLAG,ANC_QA_FLAG,ANC_RESULT,ANC_RL,ANC_UNITS,CALCIUM_BATCH_ID,CALCIUM_DATE_ANALYZED,CALCIUM_DILUTION_FACTOR,CALCIUM_HOLDING_TIME,CALCIUM_MDL,CALCIUM_NARS_FLAG,CALCIUM_QA_FLAG,CALCIUM_RESULT,CALCIUM_RL,CALCIUM_UNITS,CHLORIDE_BATCH_ID,CHLORIDE_DATE_ANALYZED,CHLORIDE_DILUTION_FACTOR,CHLORIDE_HOLDING_TIME,CHLORIDE_MDL,CHLORIDE_NARS_FLAG,CHLORIDE_QA_FLAG,CHLORIDE_RESULT,CHLORIDE_RL,CHLORIDE_UNITS,COLOR_BATCH_ID,COLOR_DATE_ANALYZED,COLOR_HOLDING_TIME,COLOR_MDL,COLOR_NARS_FLAG,COLOR_QA_FLAG,COLOR_RESULT,COLOR_RL,COLOR_UNITS,COND_BATCH_ID,COND_DATE_ANALYZED,COND_HOLDING_TIME,COND_MDL,COND_NARS_FLAG,COND_QA_FLAG,COND_RESULT,COND_RL,COND_UNITS,DOC_BATCH_ID,DOC_DATE_ANALYZED,DOC_DILUTION_FACTOR,DOC_HOLDING_TIME,DOC_MDL,DOC_NARS_FLAG,DOC_QA_FLAG,DOC_RESULT,DOC_RL,DOC_UNITS,MAGNESIUM_BATCH_ID,MAGNESIUM_DATE_ANALYZED,MAGNESIUM_DILUTION_FACTOR,MAGNESIUM_HOLDING_TIME,MAGNESIUM_MDL,MAGNESIUM_NARS_FLAG,MAGNESIUM_QA_FLAG,MAGNESIUM_RESULT,MAGNESIUM_RL,MAGNESIUM_UNITS,NITRATE_N_BATCH_ID,NITRATE_N_DATE_ANALYZED,NITRATE_N_DILUTION_FACTOR,NITRATE_N_HOLDING_TIME,NITRATE_N_MDL,NITRATE_N_NARS_FLAG,NITRATE_N_QA_FLAG,NITRATE_N_RESULT,NITRATE_N_RL,NITRATE_N_UNITS,NITRATE_NITRITE_N_BATCH_ID,NITRATE_NITRITE_N_DATE_ANALYZED,NITRATE_NITRITE_N_HOLDING_TIME,NITRATE_NITRITE_N_MDL,NITRATE_NITRITE_N_NARS_FLAG,NITRATE_NITRITE_N_QA_FLAG,NITRATE_NITRITE_N_RESULT,NITRATE_NITRITE_N_RL,NITRATE_NITRITE_N_UNITS,NITRITE_N_BATCH_ID,NITRITE_N_DATE_ANALYZED,NITRITE_N_DILUTION_FACTOR,NITRITE_N_HOLDING_TIME,NITRITE_N_MDL,NITRITE_N_NARS_FLAG,NITRITE_N_QA_FLAG,NITRITE_N_RESULT,NITRITE_N_RL,NITRITE_N_UNITS,NTL_BATCH_ID,NTL_DATE_ANALYZED,NTL_DISS_BATCH_ID,NTL_DISS_DATE_ANALYZED,NTL_DISS_HOLDING_TIME,NTL_DISS_MDL,NTL_DISS_NARS_FLAG,NTL_DISS_QA_FLAG,NTL_DISS_RESULT,NTL_DISS_UNITS,NTL_HOLDING_TIME,NTL_MDL,NTL_NARS_FLAG,NTL_QA_FLAG,NTL_RESULT,NTL_RL,NTL_UNITS,PH_BATCH_ID,PH_DATE_ANALYZED,PH_HOLDING_TIME,PH_NARS_FLAG,PH_QA_FLAG,PH_RESULT,PH_UNITS,POTASSIUM_BATCH_ID,POTASSIUM_DATE_ANALYZED,POTASSIUM_DILUTION_FACTOR,POTASSIUM_HOLDING_TIME,POTASSIUM_MDL,POTASSIUM_NARS_FLAG,POTASSIUM_QA_FLAG,POTASSIUM_RESULT,POTASSIUM_RL,POTASSIUM_UNITS,PTL_BATCH_ID,PTL_DATE_ANALYZED,PTL_DISS_BATCH_ID,PTL_DISS_DATE_ANALYZED,PTL_DISS_HOLDING_TIME,PTL_DISS_MDL,PTL_DISS_NARS_FLAG,PTL_DISS_QA_FLAG,PTL_DISS_RESULT,PTL_DISS_UNITS,PTL_HOLDING_TIME,PTL_MDL,PTL_NARS_FLAG,PTL_QA_FLAG,PTL_RESULT,PTL_RL,PTL_UNITS,SILICA_BATCH_ID,SILICA_DATE_ANALYZED,SILICA_HOLDING_TIME,SILICA_MDL,SILICA_NARS_FLAG,SILICA_QA_FLAG,SILICA_RESULT,SILICA_RL,SILICA_UNITS,SODIUM_BATCH_ID,SODIUM_DATE_ANALYZED,SODIUM_DILUTION_FACTOR,SODIUM_HOLDING_TIME,SODIUM_MDL,SODIUM_NARS_FLAG,SODIUM_QA_FLAG,SODIUM_RESULT,SODIUM_RL,SODIUM_UNITS,SULFATE_BATCH_ID,SULFATE_DATE_ANALYZED,SULFATE_DILUTION_FACTOR,SULFATE_HOLDING_TIME,SULFATE_MDL,SULFATE_NARS_FLAG,SULFATE_QA_FLAG,SULFATE_RESULT,SULFATE_RL,SULFATE_UNITS,TKN_BATCH_ID,TKN_DATE_ANALYZED,TKN_HOLDING_TIME,TKN_MDL,TKN_NARS_FLAG,TKN_QA_FLAG,TKN_RESULT,TKN_RL,TKN_UNITS,TSS_BATCH_ID,TSS_DATE_ANALYZED,TSS_HOLDING_TIME,TSS_MDL,TSS_NARS_FLAG,TSS_QA_FLAG,TSS_RESULT,TSS_RL,TSS_UNITS,TURB_BATCH_ID,TURB_DATE_ANALYZED,TURB_HOLDING_TIME,TURB_MDL,TURB_NARS_FLAG,TURB_QA_FLAG,TURB_RESULT,TURB_RL,TURB_UNITS,WCHL_DATE_RECEIVED,WCHL_LAB_SAMPLE_ID,CHLA_BATCH_ID,CHLA_DATE_ANALYZED,CHLA_HOLDING_TIME,CHLA_MDL,CHLA_NARS_FLAG,CHLA_RESULT,CHLA_RL,CHLA_UNITS,CHLA_VOLUME_FILTERED,PHEO_BATCH_ID,PHEO_DATE_ANALYZED,PHEO_HOLDING_TIME,PHEO_NARS_FLAG,PHEO_RESULT,PHEO_RL,NtoP,NO3toP
2012569,4/28/2021,NRS18_MI_10010,6/12/2018,1,TPL,Region_05,MI,,,WRS,WATER,REGULAR,1,0,180620.2,6/20/2018,,8,0.001,,,0.112,0.004,mg N/L,180614.1,6/14/2018,2,,,,3255.96,,uEQ/L,32018.1,11/16/2018,,157,0.012,,,55.704,0.024,mg/L,180615.1,6/15/2018,,3,0.003,,,82.207,0.005,mg/L,180614,6/14/2018,2,,,,21,,APHA PT-CO,180614.1,6/14/2018,2,,,,641.4,2,uS/cm at 25 C,180615.1,6/15/2018,,3,0.026,,,6.66,0.2,mg/L,32018.1,11/16/2018,,157,0.001,,,16.927,0.002,mg/L,180615.1,6/15/2018,,3,2.00E-04,,,3.9984,0.0025,mg N/L,,,,,,,,,,180615.1,6/15/2018,,3,1.00E-04,,,0.0361,0.001,mg N/L,180716.1,7/16/2018,180711.1,7/11/2018,29,0.008,H,H,4.435,mg N/L,34,0.008,H,H,4.798,0.02,mg N/L,180614.1,6/14/2018,2,,,8.44,Std. Units,32018.1,11/16/2018,,157,0.027,,,4.058,0.054,mg/L,180706.1,7/6/2018,180705.1,7/5/2018,23,0.5,,,67.46,ug/L,24,0.5,,,110.176,4,ug/L,180615.1,6/15/2018,3,0.003,,,4.75,0.01,mg/L,32018.1,11/16/2018,,157,0.003,,,50.436,0.006,mg/L,180615.1,6/15/2018,,3,0.001,,,23.18,0.08,mg/L,,,,,,,,,,180618.1,6/18/2018,6,,,,9.5,2,mg/L,180614.1,6/14/2018,2,,,,11.75,1,NTU,6/14/2018,,180618.1,6/18/2018,6,0.24,,6.22,,ug/L,250,,,,,,,0.043548504,0.036291025
2012570,4/28/2021,NRS18_CA_10032,6/12/2018,1,XER,Region_09,CA,,,WRS,WATER,REGULAR,1,0,180620.1,6/20/2018,,8,0.001,,,0.009,0.004,mg N/L,180613.1,6/13/2018,1,,,,326.1,,uEQ/L,31918.1,11/15/2018,,156,0.012,,,4.231,0.024,mg/L,180615.1,6/15/2018,,3,0.003,,,1.118,0.005,mg/L,180613,6/13/2018,1,,,,5,,APHA PT-CO,180613.1,6/13/2018,1,,,,42.2,2,uS/cm at 25 C,180615.1,6/15/2018,,3,0.026,,,1.74,0.2,mg/L,31918.1,11/15/2018,,156,0.001,,,1.228,0.002,mg/L,180615.1,6/15/2018,,3,2.00E-04,,,0.0202,0.0025,mg N/L,,,,,,,,,,180615.1,6/15/2018,,3,1.00E-04,ND,MDL (0.0001),,0.001,,180706.1,7/6/2018,180703.1,7/3/2018,21,0.008,,,0.132,mg N/L,24,0.008,,,0.153,0.02,mg N/L,180613.1,6/13/2018,1,,,7.54,Std. Units,31918.1,11/15/2018,,156,0.027,,,0.794,0.054,mg/L,180706.1,7/6/2018,180703.1,7/3/2018,21,0.5,,,10.263,ug/L,24,0.5,,,20.801,4,ug/L,180615.2,6/15/2018,3,0.003,,,9.274,0.01,mg/L,31918.1,11/15/2018,,156,0.003,,,2.15,0.006,mg/L,180615.1,6/15/2018,,3,0.001,,,1.473,0.08,mg/L,,,,,,,,,,180613.1,6/13/2018,1,,L,LRL (2),1.7,2,mg/L,180613.1,6/13/2018,1,,,,2.01,1,NTU,6/13/2018,,180614.1,6/14/2018,2,0.24,,1.34,,ug/L,700,,,,,,,0.007355416,0.000971107
2012571,4/28/2021,NRS18_WV_10012,6/12/2018,1,SAP,Region_03,WV,,,WRS,WATER,REGULAR,1,0,180620.2,6/20/2018,,8,0.001,,,0.01,0.004,mg N/L,180614.1,6/14/2018,2,,,,188.75,,uEQ/L,32018.1,11/16/2018,,157,0.012,,,2.677,0.024,mg/L,180615.1,6/15/2018,,3,0.003,,,0.556,0.005,mg/L,180614,6/14/2018,2,,,,5,,APHA PT-CO,180614.1,6/14/2018,2,,,,37.1,2,uS/cm at 25 C,180615.1,6/15/2018,,3,0.026,,,2.37,0.2,mg/L,32018.1,11/16/2018,,157,0.001,,,1.559,0.002,mg/L,180615.1,6/15/2018,,3,2.00E-04,,,0.1431,0.0025,mg N/L,,,,,,,,,,180615.1,6/15/2018,,3,1.00E-04,ND,MDL (0.0001),,0.001,,180706.1,7/6/2018,180703.1,7/3/2018,21,0.008,,,0.235,mg N/L,24,0.008,,,0.274,0.02,mg N/L,180614.1,6/14/2018,2,,,7.29,Std. Units,32018.1,11/16/2018,,157,0.027,,,1.193,0.054,mg/L,180706.1,7/6/2018,180703.1,7/3/2018,21,0.5,,,7.975,ug/L,24,0.5,,,12.176,4,ug/L,180615.1,6/15/2018,3,0.003,,,7.847,0.01,mg/L,32018.1,11/16/2018,,157,0.003,,,1.349,0.006,mg/L,180615.1,6/15/2018,,3,0.001,,,5.624,0.08,mg/L,,,,,,,,,,180618.1,6/18/2018,6,,L,LRL (2),0,2,mg/L,180614.1,6/14/2018,2,,,,2.74,1,NTU,6/14/2018,,180618.1,6/18/2018,6,0.24,,0.11,,ug/L,1000,,,,,,,0.022503285,0.011752628
2012572,4/28/2021,NRS18_OH_10030,6/12/2018,1,NAP,Region_05,OH,,,WRS,WATER,REGULAR,1,0,180710.1,7/10/2018,,28,0.001,S,S,0.069,0.004,mg N/L,180615.1,6/15/2018,3,,S,S,1390.54,,uEQ/L,32018.1,11/16/2018,,157,0.012,S,S,23.722,0.024,mg/L,180618.1,6/18/2018,,6,0.003,S,S,24.018,0.005,mg/L,180615,6/15/2018,3,,S,S,42,,APHA PT-CO,180615.1,6/15/2018,3,,S,S,252.5,2,uS/cm at 25 C,180621.1,6/21/2018,,9,0.026,S,S,9.8,0.2,mg/L,32018.1,11/16/2018,,157,0.001,S,S,5.899,0.002,mg/L,180618.1,6/18/2018,,6,2.00E-04,S,S,1.0143,0.0025,mg N/L,,,,,,,,,,180618.1,6/18/2018,,6,1.00E-04,S,S,0.0098,0.001,mg N/L,180706.1,7/6/2018,180705.2,7/5/2018,23,0.008,S,S,1.573,mg N/L,24,0.008,S,S,1.75,0.02,mg N/L,180615.1,6/15/2018,3,S,S,7.96,Std. Units,32018.1,11/16/2018,,157,0.027,S,S,3.046,0.054,mg/L,180706.1,7/6/2018,180705.2,7/5/2018,23,0.5,S,S,37.17,ug/L,24,0.5,S,S,117.603,4,ug/L,180619.1,6/19/2018,7,0.003,S,S,5.492,0.01,mg/L,32018.1,11/16/2018,,157,0.003,S,S,17.438,0.006,mg/L,180618.1,6/18/2018,,6,0.001,S,S,10.11,0.08,mg/L,,,,,,,,,,180618.1,6/18/2018,6,,S,S,17.7,2,mg/L,180615.1,6/15/2018,3,,S,S,16.17,1,NTU,6/15/2018,,180618.1,6/18/2018,6,0.24,S,4,,ug/L,100,,,,,,,0.014880573,0.00862478
2012573,4/28/2021,NRS18_LA_10014,6/12/2018,1,CPL,Region_06,LA,,,WRS,WATER,REGULAR,1,0,180620.2,6/20/2018,,8,0.001,,,0.011,0.004,mg N/L,180614.1,6/14/2018,2,,,,2097.01,,uEQ/L,32018.1,11/16/2018,,157,0.012,,,32.876,0.024,mg/L,180615.1,6/15/2018,,3,0.003,,,24.91,0.005,mg/L,180614,6/14/2018,2,,,,0,,APHA PT-CO,180614.1,6/14/2018,2,,,,349,2,uS/cm at 25 C,180615.1,6/15/2018,,3,0.026,,,4.11,0.2,mg/L,32018.1,11/16/2018,,157,0.001,,,10.437,0.002,mg/L,180615.1,6/15/2018,,3,2.00E-04,ND,MDL (0.0002),,0.0025,,,,,,,,,,,180615.1,6/15/2018,,3,1.00E-04,ND,MDL (0.0001),,0.001,,180706.1,7/6/2018,180705.1,7/5/2018,23,0.008,,,0.387,mg N/L,24,0.008,,,0.514,0.02,mg N/L,180614.1,6/14/2018,2,,,8.34,Std. Units,32018.1,11/16/2018,,157,0.027,,,3.682,0.054,mg/L,180706.1,7/6/2018,180705.1,7/5/2018,23,0.5,,,64.21,ug/L,24,0.5,,,93.676,4,ug/L,180615.1,6/15/2018,3,0.003,,,4.157,0.01,mg/L,32018.1,11/16/2018,,157,0.003,,,22.983,0.006,mg/L,180615.1,6/15/2018,,3,0.001,,,32.226,0.08,mg/L,,,,,,,,,,180618.1,6/18/2018,6,,,,5.2,2,mg/L,180614.1,6/14/2018,2,,,,9.43,1,NTU,6/14/2018,,180618.1,6/18/2018,6,0.24,,22.1,,ug/L,400,,,,,,,0.005486998,0
2012574,4/28/2021,NRS18_MN_RF001,6/12/2018,1,,Region_05,MN,,,WRS,WATER,REGULAR,1,0,180620.1,6/20/2018,,8,0.001,,,0.045,0.004,mg N/L,180613.1,6/13/2018,1,,,,4510.83,,uEQ/L,31918.1,11/15/2018,,156,0.012,,,60.903,0.024,mg/L,180615.1,6/15/2018,,3,0.003,,,4.367,0.005,mg/L,180613,6/13/2018,1,,,,45,,APHA PT-CO,180613.1,6/13/2018,1,,,,445,2,uS/cm at 25 C,180615.1,6/15/2018,,3,0.026,,,12.1,0.2,mg/L,31918.1,11/15/2018,,156,0.001,,,22.991,0.002,mg/L,180615.1,6/15/2018,,3,2.00E-04,,,0.0395,0.0025,mg N/L,,,,,,,,,,180615.1,6/15/2018,,3,1.00E-04,ND,MDL (0.0001),,0.001,,180626.1,6/26/2018,180628.1,6/28/2018,16,0.008,,,0.715,mg N/L,14,0.008,,,0.803,0.02,mg N/L,180613.1,6/13/2018,1,,,8.28,Std. Units,31918.1,11/15/2018,,156,0.027,,,2.17,0.054,mg/L,180626.1,6/26/2018,180628.1,6/28/2018,16,0.5,,,28.4,ug/L,14,0.5,,,58.139,4,ug/L,180615.1,6/15/2018,3,0.003,,,13.422,0.01,mg/L,31918.1,11/15/2018,,156,0.003,,,4.92,0.006,mg/L,180615.1,6/15/2018,,3,0.001,,,3.763,0.08,mg/L,,,,,,,,,,180613.1,6/13/2018,1,,,,4.8,2,mg/L,180613.1,6/13/2018,1,,,,5.13,1,NTU,6/13/2018,,180614.1,6/14/2018,2,0.24,,3.29,,ug/L,500,,,,,,,0.013811727,0.000679406
2012575,4/28/2021,NRS18_OK_10051,6/12/2018,1,SPL,Region_06,OK,,,ODEQ,WATER,REGULAR,1,6,6/26/2018,6/26/2018,,14,0.008,ND,,,0.1,,6/13/2018,6/13/2018,1,,,,3940,20,uEQ/L,6/20/2018,6/20/2018,,8,,,,217,0.5,mg/L,6/14/2018,6/14/2018,,2,0.147,,,377,3,mg/L,6/13/2018,6/13/2018,1,,,,15,2,APHA PT-CO,6/13/2018,6/13/2018,1,,,,2800,2,uS/cm,6/15/2018,6/15/2018,,3,0.028,,,3.28,0.5,mg/L,6/20/2018,6/20/2018,,8,0.021,,,60.8,0.5,mg/L,6/13/2018,6/13/2018,,1,0.016,L,,0.016,0.2,mg N/L,,,,,,,,,,6/13/2018,6/13/2018,,1,0.002,L,,0.002,0.1,mg N/L,6/29/2018,6/29/2018,,,,,,,,,17,,Q,,0.798,,mg N/L,6/13/2018,6/13/2018,1,H,,8.22,Std. Units,6/20/2018,6/20/2018,,8,0.025,,,8.31,0.5,mg/L,6/21/2018,6/21/2018,,,,,,,,,9,2,,,57,10,ug/L,6/20/2018,6/20/2018,8,0.013,,,19.4,0.05,mg/L,6/20/2018,6/20/2018,,8,0.025,,,268,0.5,mg/L,6/14/2018,6/14/2018,,2,0.04,,,755,0.5,mg/L,6/19/2018,6/19/2018,7,0.022,,,0.78,0.1,mg N/L,6/15/2018,6/15/2018,3,,,,19,10,mg/L,6/14/2018,6/14/2018,2,,,,12.2,0.2,NTU,6/13/2018,OWRB-1271914-06,6/21/2018,6/21/2018,9,,,16.9,0.5,,,6/21/2018,6/21/2018,9,L,<0.50,0.5,0.014,0.000280702
2012576,4/28/2021,NRS18_UT_10003,6/12/2018,1,XER,Region_08,UT,,,WRS,WATER,REGULAR,1,0,180620.2,6/20/2018,,8,0.001,,,0.014,0.004,mg N/L,180614.1,6/14/2018,2,,,,5016.5,,uEQ/L,32018.1,11/16/2018,,157,0.012,,,230.71,0.024,mg/L,180615.1,6/15/2018,,3,0.003,,,52.448,0.005,mg/L,180614,6/14/2018,2,,,,3,,APHA PT-CO,180614.1,6/14/2018,2,,,,3050.9,2,uS/cm at 25 C,180615.1,6/15/2018,,3,0.026,,,3.56,0.2,mg/L,32018.1,11/16/2018,,157,0.001,,,136.456,0.002,mg/L,180615.1,6/15/2018,,3,2.00E-04,H,,0.014,0.0025,mg N/L,,,,,,,,,,180615.1,6/15/2018,,3,1.00E-04,ND,MDL (0.0001),,0.001,,180706.1,7/6/2018,180705.1,7/5/2018,23,0.008,,,0.495,mg N/L,24,0.008,,,0.608,0.02,mg N/L,180614.1,6/14/2018,2,,,8.44,Std. Units,32018.1,11/16/2018,,157,0.027,,,9.727,0.054,mg/L,180706.1,7/6/2018,180705.1,7/5/2018,23,0.5,,,14.585,ug/L,24,0.5,,,24.176,4,ug/L,180615.2,6/15/2018,3,0.003,,,11.105,0.01,mg/L,32018.1,11/16/2018,,157,0.003,,,384.377,0.006,mg/L,180615.1,6/15/2018,,3,0.001,,,1528.106,0.08,mg/L,,,,,,,,,,180618.1,6/18/2018,6,,,,3,2,mg/L,180614.1,6/14/2018,2,,,,3.03,1,NTU,6/14/2018,,180618.1,6/18/2018,6,0.24,,0.98,,ug/L,500,,,,,,,0.025148908,0.000579087
2012577,4/28/2021,NRS18_LA_10022,6/12/2018,1,CPL,Region_06,LA,,,WRS,WATER,REGULAR,1,0,180620.2,6/20/2018,,8,0.001,,,0.012,0.004,mg N/L,180614.1,6/14/2018,2,,,,2251.15,,uEQ/L,32018.1,11/16/2018,,157,0.012,,,37.333,0.024,mg/L,180615.1,6/15/2018,,3,0.003,,,17.687,0.005,mg/L,180614,6/14/2018,2,,,,5,,APHA PT-CO,180614.1,6/14/2018,2,,,,366.4,2,uS/cm at 25 C,180615.1,6/15/2018,,3,0.026,,,3.06,0.2,mg/L,32018.1,11/16/2018,,157,0.001,,,12.477,0.002,mg/L,180615.1,6/15/2018,,3,2.00E-04,,,1.3409,0.0025,mg N/L,,,,,,,,,,180615.1,6/15/2018,,3,1.00E-04,ND,MDL (0.0001),,0.001,,180706.1,7/6/2018,180710.2,7/10/2018,28,0.008,,,1.613,mg N/L,24,0.008,,,1.739,0.02,mg N/L,180614.1,6/14/2018,2,,,8.2,Std. Units,32018.1,11/16/2018,,157,0.027,,,3.374,0.054,mg/L,180706.1,7/6/2018,180705.1,7/5/2018,23,0.5,,,81.21,ug/L,24,0.5,,,128.051,4,ug/L,180615.1,6/15/2018,3,0.003,,,6.209,0.01,mg/L,32018.1,11/16/2018,,157,0.003,,,17.898,0.006,mg/L,180615.1,6/15/2018,,3,0.001,,,42.117,0.08,mg/L,,,,,,,,,,180618.1,6/18/2018,6,,,,25.8,2,mg/L,180614.1,6/14/2018,2,,,,12.19,1,NTU,6/14/2018,,180618.1,6/18/2018,6,0.24,,3.95,,ug/L,250,,,,,,,0.013580527,0.010471609
2012578,4/28/2021,NRS18_OH_10005,6/12/2018,1,SAP,Region_05,OH,,,WRS,WATER,REGULAR,1,0,180710.1,7/10/2018,,28,0.001,S,S,0.035,0.004,mg N/L,180615.1,6/15/2018,3,,S,S,1029.79,,uEQ/L,32018.1,11/16/2018,,157,0.012,S,S,20.901,0.024,mg/L,180618.1,6/18/2018,,6,0.003,S,S,3.397,0.005,mg/L,180615,6/15/2018,3,,S,S,2,,APHA PT-CO,180615.1,6/15/2018,3,,S,S,167.5,2,uS/cm at 25 C,180615.1,6/15/2018,,3,0.026,S,S,3.59,0.2,mg/L,32018.1,11/16/2018,,157,0.001,S,S,4.342,0.002,mg/L,180618.1,6/18/2018,,6,2.00E-04,S,S,0.3825,0.0025,mg N/L,,,,,,,,,,180618.1,6/18/2018,,6,1.00E-04,S,S,0.0016,0.001,mg N/L,180706.1,7/6/2018,180705.2,7/5/2018,23,0.008,S,S,0.551,mg N/L,24,0.008,S,S,0.719,0.02,mg N/L,180615.1,6/15/2018,3,S,S,7.75,Std. Units,32018.1,11/16/2018,,157,0.027,S,S,1.561,0.054,mg/L,180706.1,7/6/2018,180705.2,7/5/2018,23,0.5,S,S,20.71,ug/L,24,0.5,S,S,86.051,4,ug/L,180619.1,6/19/2018,7,0.003,S,S,11.154,0.01,mg/L,32018.1,11/16/2018,,157,0.003,S,S,4.393,0.006,mg/L,180618.1,6/18/2018,,6,0.001,S,S,20.436,0.08,mg/L,,,,,,,,,,180618.1,6/18/2018,6,,S,S,30,2,mg/L,180615.1,6/15/2018,3,,S,S,28.85,1,NTU,6/15/2018,,180618.1,6/18/2018,6,0.24,S,1.34,,ug/L,400,,,,,,,0.00835551,0.004445038
2012579,4/28/2021,NRS18_CA_10031,6/12/2018,1,XER,Region_09,CA,,,WRS,WATER,REGULAR,1,0,180620.2,6/20/2018,,8,0.001,,,0.011,0.004,mg N/L,180614.1,6/14/2018,2,,,,1614.04,,uEQ/L,32018.1,11/16/2018,,157,0.012,,,21.721,0.024,mg/L,180615.1,6/15/2018,,3,0.003,,,3.928,0.005,mg/L,180614,6/14/2018,2,,,,1,,APHA PT-CO,180614.1,6/14/2018,2,,,,194.5,2,uS/cm at 25 C,180615.1,6/15/2018,,3,0.026,,,1.14,0.2,mg/L,32018.1,11/16/2018,,157,0.001,,,7.102,0.002,mg/L,180615.1,6/15/2018,,3,2.00E-04,L,EST,0.0017,0.0025,mg N/L,,,,,,,,,,180615.1,6/15/2018,,3,1.00E-04,ND,MDL (0.0001),,0.001,,180706.1,7/6/2018,180705.1,7/5/2018,23,0.008,,,0.09,mg N/L,24,0.008,,,0.113,0.02,mg N/L,180614.1,6/14/2018,2,,,8.18,Std. Units,32018.1,11/16/2018,,157,0.027,,,2.087,0.054,mg/L,180706.1,7/6/2018,180705.1,7/5/2018,23,0.5,,,24.085,ug/L,24,0.5,,,24.676,4,ug/L,180615.2,6/15/2018,3,0.003,,,18.997,0.01,mg/L,32018.1,11/16/2018,,157,0.003,,,6.978,0.006,mg/L,180615.1,6/15/2018,,3,0.001,,,12.305,0.08,mg/L,,,,,,,,,,180618.1,6/18/2018,6,,L,LRL (2),0.2,2,mg/L,180614.1,6/14/2018,2,,L,LRL (1),0.93,1,NTU,6/14/2018,,180618.1,6/18/2018,6,0.24,,0.39,,ug/L,1500,,,,,,,0.004579348,6.88929E-05
2012580,4/28/2021,NRS18_TX_10081,6/13/2018,1,SPL,Region_06,TX,,,WRS,WATER,REGULAR,1,0,180620.1,6/20/2018,,7,0.001,,,0.008,0.004,mg N/L,180614.1,6/14/2018,1,,,,2926.4,,uEQ/L,31918.1,11/15/2018,,155,0.012,,,56.398,0.024,mg/L,180615.1,6/15/2018,,2,0.003,,,12.712,0.005,mg/L,180614,6/14/2018,1,,,,3,,APHA PT-CO,180614.1,6/14/2018,1,,,,431.7,2,uS/cm at 25 C,180615.1,6/15/2018,,2,0.026,,,2.47,0.2,mg/L,31918.1,11/15/2018,,155,0.001,,,15.379,0.002,mg/L,180615.1,6/15/2018,,2,2.00E-04,,,0.1328,0.0025,mg N/L,,,,,,,,,,180615.1,6/15/2018,,2,1.00E-04,ND,MDL (0.0001),,0.001,,180706.1,7/6/2018,180703.1,7/3/2018,20,0.008,,,0.188,mg N/L,23,0.008,,,0.261,0.02,mg N/L,180614.1,6/14/2018,1,,,8.28,Std. Units,31918.1,11/15/2018,,155,0.027,,,2.483,0.054,mg/L,180706.1,7/6/2018,180703.1,7/3/2018,20,0.5,,,8.763,ug/L,23,0.5,,,35.926,4,ug/L,180615.2,6/15/2018,2,0.003,,,8.534,0.01,mg/L,31918.1,11/15/2018,,155,0.003,,,7.974,0.006,mg/L,180615.1,6/15/2018,,2,0.001,,,51.752,0.08,mg/L,,,,,,,,,,180618.1,6/18/2018,5,,,,6.6,2,mg/L,180614.1,6/14/2018,1,,,,17.69,1,NTU,6/14/2018,,180618.1,6/18/2018,5,0.24,,4.61,,ug/L,400,,,,,,,0.007264933,0.003696487
