PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,STATE,MATRIX,SAM_CODE,LAB,WATER_LAT,WATER_LON,CHEM_SAMPLE_ID,CHLA_SAMPLE_ID,VOLUME_FILTERED,AMMONIA_N_LAB_COMMENT,AMMONIA_N_MDL,AMMONIA_N_NARS_FLAG,AMMONIA_N_RESULT,AMMONIA_N_RL,AMMONIA_N_UNITS,CHLA_COMMENT,CHLA_LAB_COMMENT,CHLA_MDL,CHLA_NARS_FLAG,CHLA_RESULT,CHLA_RL,CHLA_UNITS,CHLORIDE_COMMENT,CHLORIDE_LAB_COMMENT,CHLORIDE_MDL,CHLORIDE_NARS_FLAG,CHLORIDE_RESULT,CHLORIDE_RL,CHLORIDE_UNITS,COND_LAB_COMMENT,COND_MDL,COND_NARS_FLAG,COND_RESULT,COND_RL,COND_UNITS,DOC_LAB_COMMENT,DOC_MDL,DOC_NARS_FLAG,DOC_RESULT,DOC_RL,DOC_UNITS,NITRATE_NITRITE_N_LAB_COMMENT,NITRATE_NITRITE_N_MDL,NITRATE_NITRITE_N_NARS_FLAG,NITRATE_NITRITE_N_RESULT,NITRATE_NITRITE_N_RL,NITRATE_NITRITE_N_UNITS,NTL_COMMENT,NTL_LAB_COMMENT,NTL_MDL,NTL_NARS_FLAG,NTL_RESULT,NTL_RL,NTL_UNITS,PH_LAB_COMMENT,PH_NARS_FLAG,PH_RESULT,PH_UNITS,PTL_LAB_COMMENT,PTL_MDL,PTL_NARS_FLAG,PTL_RESULT,PTL_RL,PTL_UNITS,SULFATE_COMMENT,SULFATE_LAB_COMMENT,SULFATE_MDL,SULFATE_NARS_FLAG,SULFATE_RESULT,SULFATE_RL,SULFATE_UNITS,TKN_COMMENT,TKN_MDL,TKN_NARS_FLAG,TKN_RESULT,TKN_RL,TKN_UNITS,TURB_LAB_COMMENT,TURB_MDL,TURB_NARS_FLAG,TURB_RESULT,TURB_RL,TURB_UNITS,NtoP
4/26/2021,197310,NWCA16-6024,26-Apr-16,1,KY,WATER,REGULAR,ALS-MDT,37.53559,-86.54391,819190,819191,410,,0.03,ND,,0.1,mg N/L,,,1.22,,2.605,1.22,ug/L,,,0.12,,2.3,2,mg/L,,0.2,,475,1,uS/cm @ 25C,,2.4,,10.9,5,mg/L,,0.01,L,0.04,0.05,mg N/L,,,,,0.45,,mg/L,,,8.05,Std. Units,,5,,180,10,ug/L,,,0.13,,31.4,2,mg/L,,0.4,ND,,0.4,mg N/L,,0.1,,4.04,0.1,NTU,0.041284404
4/26/2021,197350,NWCA16-2010,27-Apr-16,1,GA,WATER,REGULAR,ALS-MDT,32.60603,-81.68256,818590,818591,100,,0.003,,0.295,0.01,mg N/L,,,5,,10.68,5,ug/L,,,0.062,,11.2,1,mg/L,,0.2,,78.2,1,uS/cm @ 25C,,0.47,,7.08,1,mg/L,,0.01,L,0.02,0.05,mg N/L,,,,,1.14,,mg/L,,,6.79,Std. Units,,5,,42,10,ug/L,,,0.064,L,0.32,1,mg/L,,0.4,,1.09,0.4,mg N/L,,0.1,,9.25,1,NTU,0.161016949
4/26/2021,197351,NWCA16-3147,26-Apr-16,1,MS,WATER,REGULAR,ALS-MDT,30.37188,-88.83449,818990,818991,150,,0.02,ND,,0.05,mg N/L,,,3.33,,17.8,3.33,ug/L,Lab did not measure sulfate/chloride (brackish water sample),,,,,,mg/L,,0.2,,13800,1,uS/cm @ 25C,,0.24,,6.33,0.5,mg/L,,0.01,L,0.03,0.05,mg N/L,,,,,0.286,,mg/L,,,7.52,Std. Units,,5,ND,,10,ug/L,Lab did not measure sulfate/chloride (brackish water sample),,,,,,mg/L,,0.1,,0.236,0.1,mg N/L,,0.1,,24.5,0.1,NTU,0.045181675
4/26/2021,197380,NWCA16-3161,27-Apr-16,1,MS,WATER,REGULAR,ALS-MDT,33.29922,-88.81639,818270,818271,100,,0.006,,0.582,0.02,mg N/L,,,5,,5.34,5,ug/L,,,0.12,,3.5,2,mg/L,,0.2,,98.4,1,uS/cm @ 25C,,2.4,,14.6,5,mg/L,,0.01,L,0.04,0.05,mg N/L,,,,,1.25,,mg/L,,,7.1,Std. Units,,5,,149,10,ug/L,,,0.13,,8.44,2,mg/L,,0.4,,1.2,0.4,mg N/L,,0.1,,61.5,0.1,NTU,0.085616438
4/26/2021,197390,NWCA16-6032,27-Apr-16,1,KY,WATER,REGULAR,ALS-MDT,37.43108,-86.78474,819170,819171,656,,0.003,ND,,0.01,mg N/L,,,0.76,,1.623,0.76,ug/L,,,0.12,,3.1,2,mg/L,,0.2,,895,1,uS/cm @ 25C,,0.24,,5.22,0.5,mg/L,,0.01,L,0.03,0.05,mg N/L,,,,,0.613,,mg/L,,,6.41,Std. Units,,5,,35,10,ug/L,,,0.64,,474,10,mg/L,,0.5,,0.563,0.5,mg N/L,,0.1,,6.64,0.1,NTU,0.11743295
4/26/2021,197410,NWCA16-3139,27-Apr-16,1,MS,WATER,REGULAR,ALS-MDT,30.41955,-88.56145,818980,818981,150,,0.003,L,0.0039,0.01,mg N/L,,,3.33,,10.68,3.33,ug/L,,,1.6,,125,25,mg/L,,0.2,,501,1,uS/cm @ 25C,,0.47,,7.51,1,mg/L,,0.01,,0.14,0.05,mg N/L,,,,,8,,mg/L,,,6.79,Std. Units,,5,,33,10,ug/L,,,0.13,,23.3,2,mg/L,,2,,7.86,2,mg N/L,,0.1,,18.4,0.1,NTU,1.065246338
4/26/2021,197460,NWCA16-1020,28-Apr-16,1,AL,WATER,REGULAR,ALS-MDT,33.64435,-88.24795,818260,818261,100,,0.003,L,0.0089,0.01,mg N/L,,,5,,5.34,5,ug/L,,,0.062,,1.73,1,mg/L,,0.2,,33.2,1,uS/cm @ 25C,,0.24,,2.34,0.5,mg/L,,0.01,L,0.03,0.05,mg N/L,,,,,0.497,,mg/L,,,6.55,Std. Units,,5,L,7,10,ug/L,,,0.064,,1.32,1,mg/L,,0.1,,0.447,0.1,mg N/L,,0.1,,13.1,0.1,NTU,0.212393162
4/26/2021,197490,NWCA16-2026,29-Apr-16,1,GA,WATER,REGULAR,ALS-MDT,32.32425,-81.54015,820140,820141,100,,0.03,,0.944,0.1,mg N/L,,,5,,5.34,5,ug/L,,,0.062,,12.9,1,mg/L,,0.2,,78.5,1,uS/cm @ 25C,,1.2,,24.8,2.5,mg/L,,0.044,ND,,0.2,mg N/L,,,,,2.75,,mg/L,,,6.42,Std. Units,,5,,138,10,ug/L,,,0.064,L,0.61,1,mg/L,,0.5,,2.35,0.5,mg N/L,,0.1,,24.2,1,NTU,0.110887097
4/26/2021,197510,NWCA16-1005,29-Apr-16,1,AL,WATER,REGULAR,ALS-MDT,30.94802,-87.89606,818940,818941,250,,0.003,L,0.0092,0.01,mg N/L,,,3.33,,14.24,3.33,ug/L,,,0.12,,7.12,2,mg/L,,0.2,,114,1,uS/cm @ 25C,,0.47,,7.78,1,mg/L,,0.01,,0.06,0.05,mg N/L,,,,,0.81,,mg/L,,,7.2,Std. Units,,5,,29,10,ug/L,,,0.13,,6.4,2,mg/L,,0.5,,0.75,0.5,mg N/L,,0.1,,42.7,0.1,NTU,0.104113111
4/26/2021,197520,NWCA16-1016,01-May-16,1,AL,WATER,REGULAR,ALS-MDT,30.78353,-87.97691,818930,818931,350,,0.003,ND,,0.01,mg N/L,,,1.43,,10.68,1.43,ug/L,,,0.31,,210,5,mg/L,,0.2,,847,1,uS/cm @ 25C,,1.2,,19.2,2.5,mg/L,,0.01,L,0.02,0.05,mg N/L,,,,,1.78,,mg/L,,,7.12,Std. Units,,25,,80,50,ug/L,,,0.13,,9.28,2,mg/L,,0.5,,1.73,0.5,mg N/L,,0.1,,14.6,0.1,NTU,0.092708333
4/26/2021,197580,NWCA16-1079,02-May-16,1,AR,WATER,REGULAR,ALS-MDT,33.18765,-92.72916,818330,818331,100,,0.003,,0.262,0.01,mg N/L,,,5,,10.68,5,ug/L,,,0.12,,9.06,2,mg/L,,0.2,,99.9,1,uS/cm @ 25C,,1.2,,23.5,2.5,mg/L,,0.01,,0.96,0.05,mg N/L,,,,,3.38,,mg/L,,,6.89,Std. Units,,25,,665,50,ug/L,,,0.13,,2.76,2,mg/L,,0.5,,2.42,0.5,mg N/L,,0.1,,22.5,0.1,NTU,0.143829787
4/26/2021,197590,NWCA16-1087,01-May-16,1,AR,WATER,REGULAR,ALS-MDT,33.4533,-91.48141,818340,818341,100,,0.003,,0.0775,0.01,mg N/L,,,5,,5.34,5,ug/L,,,0.12,,2.26,2,mg/L,,0.2,,50.5,1,uS/cm @ 25C,,0.47,,8.16,1,mg/L,,0.01,,0.44,0.05,mg N/L,,,,,1.75,,mg/L,,,6.78,Std. Units,,25,,415,50,ug/L,,,0.13,,2.98,2,mg/L,,0.5,,1.31,0.5,mg N/L,,0.1,,195,0.1,NTU,0.214460784
4/26/2021,197610,NWCA16-4855,02-May-16,1,WA,WATER,REGULAR,ALS-MDT,48.393333,-122.484444,819810,819811,150,,0.003,ND,,0.01,mg N/L,,,3.33,,17.8,3.33,ug/L,,,0.062,,70.1,1,mg/L,,0.2,,738,1,uS/cm @ 25C,,0.47,,10.7,1,mg/L,,0.01,L,0.02,0.05,mg N/L,,,,,1.22,,mg/L,,,7.86,Std. Units,,25,,905,50,ug/L,,,0.064,,45.8,1,mg/L,,0.5,,1.17,0.5,mg N/L,,0.1,,15.1,0.1,NTU,0.114018692
4/26/2021,197650,NWCA16-6043,03-May-16,1,KY,WATER,REGULAR,ALS-MDT,37.22815,-87.04592,818060,818061,212,,0.03,,1.04,0.1,mg N/L,,,2.36,,10.075,2.36,ug/L,,,0.062,,10.1,1,mg/L,,0.2,,1570,1,uS/cm @ 25C,,0.47,,3.93,1,mg/L,,0.01,,0.07,0.05,mg N/L,,,,,1.39,,mg/L,,,6.66,Std. Units,,25,,105,50,ug/L,,,1.6,,849,25,mg/L,,0.5,,1.32,0.5,mg N/L,,0.1,,204,0.1,NTU,0.353689567
4/26/2021,197660,NWCA16-6010,03-May-16,1,KY,WATER,REGULAR,ALS-MDT,37.47908,-84.49692,818040,818041,100,,0.006,,0.0872,0.02,mg N/L,,,5,,5.34,5,ug/L,,,0.062,,1.44,1,mg/L,,0.2,,71.8,1,uS/cm @ 25C,,0.47,,17.5,1,mg/L,,0.01,L,0.03,0.05,mg N/L,,,,,0.907,,mg/L,,,7.37,Std. Units,,25,,60,50,ug/L,,,0.064,,3.27,1,mg/L,,0.1,,0.857,0.1,mg N/L,,0.1,,83.4,0.1,NTU,0.051828571
4/26/2021,197670,NWCA16-3160,03-May-16,1,MS,WATER,REGULAR,ALS-MDT,30.96927,-88.74311,818900,818901,125,,0.006,,0.254,0.02,mg N/L,,,4,,4.272,4,ug/L,,,0.062,,3.52,1,mg/L,,0.2,,39.2,1,uS/cm @ 25C,,0.47,,8.42,1,mg/L,,0.01,,0.06,0.05,mg N/L,NTL calculated from TKN and NITRATE_NITRITE_N,,,J,1.055,,mg/L,,,6.62,Std. Units,,25,,160,50,ug/L,,,0.064,,3.52,1,mg/L,,0.1,,0.995,0.1,mg N/L,,0.1,,62.1,0.1,NTU,0.125296912
4/26/2021,197690,NWCA16-1078,03-May-16,1,AR,WATER,REGULAR,ALS-MDT,33.67792,-92.58488,818660,818661,500,,0.006,,0.0244,0.02,mg N/L,,,1,ND,,1,ug/L,,,0.062,,4.67,1,mg/L,,0.2,,34.1,1,uS/cm @ 25C,,1.2,,36.2,2.5,mg/L,,0.01,L,0.02,0.05,mg N/L,,,,,1.63,,mg/L,,,5.37,Std. Units,,25,,55,50,ug/L,,,0.064,L,0.68,1,mg/L,,0.5,,1.58,0.5,mg N/L,,0.1,,12.2,0.1,NTU,0.045027624
4/26/2021,197730,NWCA16-1083,04-May-16,1,AR,WATER,REGULAR,ALS-MDT,33.36039,-92.97276,818290,818291,100,,0.006,,0.0382,0.02,mg N/L,,,5,,5.34,5,ug/L,,,0.062,,3.39,1,mg/L,,0.2,,35.2,1,uS/cm @ 25C,,0.47,,10,1,mg/L,,0.01,,0.06,0.05,mg N/L,NTL calculated from TKN and NITRATE_NITRITE_N,,,J,0.554,,mg/L,,,6.63,Std. Units,,25,,100,50,ug/L,,,0.064,,4.4,1,mg/L,,0.1,,0.494,0.1,mg N/L,,0.1,,34.4,0.1,NTU,0.0554
4/26/2021,197750,NWCA16-6047,04-May-16,1,KY,WATER,REGULAR,ALS-MDT,37.24852,-86.95876,818070,818071,168,,0.003,,0.271,0.01,mg N/L,,,2.98,,6.357,2.98,ug/L,,,0.062,L,0.88,1,mg/L,,0.2,,61.5,1,uS/cm @ 25C,,0.47,,10.9,1,mg/L,,0.01,L,0.03,0.05,mg N/L,,,,,1.24,,mg/L,,,7.36,Std. Units,,25,,70,50,ug/L,,,0.064,,4.5,1,mg/L,,0.1,,1.19,0.1,mg N/L,,0.1,,82.3,0.1,NTU,0.113761468
4/26/2021,197890,NWCA16-6038,05-May-16,1,KY,WATER,REGULAR,ALS-MDT,37.02819,-83.99054,819250,819251,500,,0.02,ND,,0.05,mg N/L,,,1,,2.67,1,ug/L,,,0.062,L,0.94,1,mg/L,,0.2,,23.6,1,uS/cm @ 25C,,1.2,,6.15,2.5,mg/L,,0.01,L,0.03,0.05,mg N/L,,,,,0.562,,mg/L,,,6.58,Std. Units,,25,,65,50,ug/L,,,0.064,,2.14,1,mg/L,,0.1,,0.512,0.1,mg N/L,,0.1,,4.36,0.1,NTU,0.091382114
4/26/2021,198040,NWCA16-1697,09-May-16,1,FL,WATER,REGULAR,ALS-MDT,30.717543,-81.5274,819460,819461,400,,0.03,ND,,0.1,mg N/L,,,1.25,,4.005,1.25,ug/L,,,15.5,,17400,250,mg/L,,0.2,,37900,1,uS/cm @ 25C,,1.2,,9.83,2.5,mg/L,,0.01,L,0.02,0.05,mg N/L,,,,,0.427,,mg/L,,,7.58,Std. Units,,5,,43,10,ug/L,,,1.6,,2100,25,mg/L,,0.1,,0.377,0.1,mg N/L,,0.1,,7.18,0.1,NTU,0.043438454
4/26/2021,198150,NWCA16-1710,10-May-16,1,FL,WATER,REGULAR,ALS-MDT,28.77857,-82.6553,819440,819441,600,,0.02,ND,,0.05,mg N/L,,,0.83,ND,,0.83,ug/L,,,6.2,,7270,100,mg/L,,0.2,,17900,1,uS/cm @ 25C,,1.2,,5.27,2.5,mg/L,,0.01,,0.06,0.05,mg N/L,NTL calculated from TKN and NITRATE_NITRITE_N,,,J,0.267,,mg/L,,,7.97,Std. Units,,5,,33,10,ug/L,,,6.4,,1160,100,mg/L,,0.1,,0.207,0.1,mg N/L,,0.1,,0.387,0.1,NTU,0.050664137
4/26/2021,198160,NWCA16-4344,10-May-16,1,SD,WATER,REGULAR,ALS-MDT,44.282724,-103.798971,820990,820991,1000,,0.02,L,0.02,0.05,mg N/L,,,0.5,,1.068,0.5,ug/L,,,0.062,,7.95,1,mg/L,,0.2,,446,1,uS/cm @ 25C,,0.24,,2.51,0.5,mg/L,,0.01,,0.1,0.05,mg N/L,NTL calculated from TKN and NITRATE_NITRITE_N,,,J,0.295,,mg/L,,,8.4,Std. Units,,5,,33,10,ug/L,,,0.064,,3.85,1,mg/L,,0.1,,0.195,0.1,mg N/L,,0.1,,2.73,0.1,NTU,0.11752988
4/26/2021,198200,NWCA16-1002,11-May-16,2,AL,WATER,REGULAR,ALS-MDT,30.26161,-87.7287,818970,818971,50,,0.02,,0.057,0.05,mg N/L,,,10,,85.44,10,ug/L,Lab did not measure sulfate/chloride (brackish water sample),,,,,,mg/L,,0.2,,1970,1,uS/cm @ 25C,,1.2,,20.1,2.5,mg/L,,0.01,,0.06,0.05,mg N/L,,,,,2.59,,mg/L,,,6.26,Std. Units,,5,,58,10,ug/L,Lab did not measure sulfate/chloride (brackish water sample),,,,,,mg/L,,0.5,,2.53,0.5,mg N/L,,0.1,,32.3,0.1,NTU,0.128855721
4/26/2021,198300,NWCA16-4329,11-May-16,1,SD,WATER,REGULAR,ALS-MDT,44.806945,-102.291292,820970,820971,150,,0.02,L,0.037,0.05,mg N/L,,,3.33,,24.92,3.33,ug/L,,,0.062,,1.58,1,mg/L,,0.2,,172,1,uS/cm @ 25C,,1.2,,27.1,2.5,mg/L,,0.01,L,0.03,0.05,mg N/L,,,,,1.93,,mg/L,,,9.61,Std. Units,,25,,100,50,ug/L,,,0.064,,2.19,1,mg/L,,0.2,,1.88,0.2,mg N/L,,0.1,,29.6,0.1,NTU,0.071217712
4/26/2021,198310,NWCA16-4867,10-May-16,1,WA,WATER,REGULAR,ALS-MDT,46.681484,-123.898615,819800,819801,200,,0.02,ND,,0.05,mg N/L,,,2.5,,2.67,2.5,ug/L,Lab did not measure sulfate/chloride (brackish water sample),,,,,,mg/L,,0.2,,31400,1,uS/cm @ 25C,,1.2,,6.72,2.5,mg/L,,0.01,L,0.03,0.05,mg N/L,,,,,0.586,,mg/L,,,7.56,Std. Units,,25,,100,50,ug/L,Lab did not measure sulfate/chloride (brackish water sample),,,,,,mg/L,,0.1,,0.536,0.1,mg N/L,,0.1,,7.57,0.1,NTU,0.087202381
4/26/2021,198320,NWCA16-1774,11-May-16,1,FL,WATER,REGULAR,ALS-MDT,28.784298,-82.664801,818030,818031,250,,0.02,ND,,0.05,mg N/L,,,2,,4.272,2,ug/L,,,15.5,,10700,250,mg/L,,0.2,,24100,1,uS/cm @ 25C,,1.2,,6.9,2.5,mg/L,,0.01,,0.05,0.05,mg N/L,NTL calculated from TKN and NITRATE_NITRITE_N,,,J,0.5,,mg/L,,,7.96,Std. Units,,5,,22,10,ug/L,,,16,,1460,250,mg/L,,0.1,,0.45,0.1,mg N/L,,0.1,,6.84,0.1,NTU,0.072463768
4/26/2021,198460,NWCA16-1001,12-May-16,2,AL,WATER,REGULAR,ALS-MDT,30.38401,-88.11412,818920,818921,150,,0.02,ND,,0.05,mg N/L,,,3.33,,3.56,3.33,ug/L,,,0.062,,22.5,1,mg/L,,0.2,,77.8,1,uS/cm @ 25C,,1.2,,6.7,2.5,mg/L,,0.01,L,0.03,0.05,mg N/L,,,,,0.259,,mg/L,,,5.91,Std. Units,,5,,18,10,ug/L,,,0.064,L,0.83,1,mg/L,,0.1,,0.209,0.1,mg N/L,,0.1,,3.65,0.1,NTU,0.038656716
4/26/2021,198470,NWCA16-1086,12-May-16,1,AR,WATER,REGULAR,ALS-MDT,35.07287,-90.92999,818640,818641,300,,0.02,,2.31,0.05,mg N/L,,,1.67,,3.56,1.67,ug/L,,,0.062,,1.18,1,mg/L,,0.2,,59,1,uS/cm @ 25C,,1.2,,31.1,2.5,mg/L,,0.01,,0.06,0.05,mg N/L,,,,,5.61,,mg/L,,,7.05,Std. Units,,25,,935,50,ug/L,,,0.064,L,0.24,1,mg/L,,2,,5.55,2,mg N/L,,0.1,,33.4,0.1,NTU,0.180385852
4/26/2021,198540,NWCA16-4887,12-May-16,1,WA,WATER,REGULAR,ALS-MDT,47.393,-123.28656,819790,819791,900,,0.003,ND,,0.01,mg N/L,,,0.556,,0.593,0.556,ug/L,,,0.062,,1.35,1,mg/L,,0.2,,65.3,1,uS/cm @ 25C,,1.2,,5.43,2.5,mg/L,,0.01,,0.1,0.05,mg N/L,NTL calculated from TKN and NITRATE_NITRITE_N,,,J,0.226,,mg/L,,,7.92,Std. Units,,5,,35,10,ug/L,,,0.064,L,0.77,1,mg/L,,0.1,,0.126,0.1,mg N/L,,0.1,L,0.176,1,NTU,0.041620626
4/26/2021,198550,NWCA16-3141,13-May-16,1,MS,WATER,REGULAR,ALS-MDT,30.39471,-88.58897,818910,818911,200,,0.03,ND,,0.1,mg N/L,,,2.5,,16.02,2.5,ug/L,Lab did not measure sulfate/chloride (brackish water sample),,,,,,mg/L,,0.2,,3800,1,uS/cm @ 25C,,1.2,,16.9,2.5,mg/L,,0.01,L,0.04,0.05,mg N/L,,,,,0.15,,mg/L,,,7.48,Std. Units,,25,,105,50,ug/L,Lab did not measure sulfate/chloride (brackish water sample),,,,,,mg/L,,0.1,ND,,0.1,mg N/L,,0.1,,13,1,NTU,0.00887574
