SITE_ID,YEAR,VISIT_NO,SAMPLED,DATE_COL,DATECHEM,TEAM_ID,SAMP_LOC,PHSTVL,PHSTVLF,COND,CONDF,ANC,ANCF,TURB,TURBF,TSS,TSSF,COLOR,COLORF,DOC,DOCF,DIC,DICF,PTL,PTLF,SE,SEF,CA,CAF,MG,MGF,NA,NAF,K,KF,NH4,NH4F,SO4,SO4F,NO3,NO3F,CL,CLF,NTL,NTLF,ZN,ZNF,SIO2,SIO2F,H,OH,HCO3,CO3,ALKCALC,CATSUM,ANSUM,ANDEF,SOBC,IONSTR,BALANCE,ORGION,CONCAL,CONDHO,DAY_SHIP,COM_LAB,COM_FLD,COM_IM ,NtoP,NO3toP
WAZP99-0605,2000,1,Yes,06/07/2000,06/07/2000,1,F,8.61,H6,863,H9,3668.4,H8,0.307,H6,9.8,H218,5,H6,1.45, ,11.88,H5,61, ,1,H447B,3140.7,H215,1442.7,H240,3547.8,H237,39.4,H245,0.7, ,317.7,H8,0,H8,4382.6,H56,174, ,13,H505,30.09,H12,0.002,4.074,965.394,36.874,1006.31,8171.13,5706.7,2464.43,8170.54,0.014,17.76,14.48,850.03,789.11,5, ,Cooled instream. Placed on ice in truck. Collected at 11am.,  ,2.852459016,0
WAZP99-0615,2000,1,Yes,06/17/2000,06/17/2000,1,X,7.35, ,103, ,952.8, ,0.595, ,46.5,H208,8,H4,1.52, ,12.06,H6,109,H40,1,H437B,460.2,H205,397.1,H230,158.9,H227,20.6,H235,0.7, ,50.2, ,0, ,16.6, ,363,H40,2.5,H495B,25.24,H10,0.045,0.224,911.61,1.913,913.64,1037.63,980.56,57.07,1036.88,0.002,2.83,15,103.99,99.28,3,pH syringe tip broken in shipping - sample  may have been compromised,CAN'T KEEP LABEL ON CUBITAINER,  ,3.330275229,0
WAZP99-0619,2000,1,Yes,06/19/2000,06/19/2000,1,F,7.98, ,490, ,4657.7, ,63.9, ,105.6,H207,9, ,4.06, ,47.14,H4,203,H38,1,H435B,2224.5,H203,2009.6,H228,912.9,H225,85.2,H233,3.7, ,694.1, ,663.4, ,366.1, ,684,H38,2.5,H493B,20,H8,0.01,0.955,3817.996,34.186,3852.87,5235.8,4924.1,311.7,5232.25,0.013,3.07,40.41,547.74,493.23,2, ,Water quite turbid: samples immediately moved to ice chest and placed on ice.,  ,3.369458128,0.05270936
WAZP99-0632,2001,1,Yes,05/22/2001,05/22/2001,1,K,8.73, ,280,H8,2602.1,H8,20.2, ,22,H15,5, ,2.01, ,30.54, ,45,H78,0,H254,2031.1,H280,777.9,H230,141.8,H227,19.6,H227,1.5, ,327.7,H8,266.6,H8,130.6,H8,265,H78,1,H312,7.1,H8,0.002,5.37,2470.304,124.385,2599.94,2971.6,3062.64,-91.04,2970.42,0.008,-1.51,20.07,326.75,296.82,2, , ,  ,5.888888889,0.095555556
WAZP99-0639,2001,1,Yes,05/31/2001,05/31/2001,1,F,7.6,H4,113, ,1025.9, ,4.38,H4,1,H18,15,H4,2.06, ,12.18,H6,92, ,0,H245,566.3,H271,446.1,H221,136.1,H218,21.1,H218,0.4, ,101,H8,0,H8,33.3,H8,91, ,1,H303,24.51, ,0.025,0.398,958.218,3.577,962.11,1170.07,1096.45,73.61,1169.62,0.003,3.25,20.42,119.31,112.22,4, , ,  ,0.989130435,0
WAZP99-0645,2001,1,Yes,06/13/2001,06/13/2001,1,B,8.26,H5,365, ,3660, ,7.56,H5,39.4,H15,10,H5,2.88, ,43.1,H6,161,H29,0,H234,2332.6,H258,798.6,H292,858.8,H225,18.6,H224,0.4, ,202.8, ,130.2, ,129.7, ,285,H29,6,H290,26.96, ,0.005,1.82,3515.19,59.975,3576.75,4008.99,3911.66,97.33,4008.59,0.009,1.23,28.71,412.67,381.72,3, , ,  ,1.770186335,0.013043478
WAZP99-0648,2001,1,Yes,06/01/2001,06/01/2001,1,E,7.77, ,159, ,1627.8, ,10.4, ,15, ,10, ,0.67, ,19.76,H5,62, ,0,H244,637.5,H270,617.4,H220,391.1,H217,82.4,H217,1.8, ,18.1, ,223.2, ,38.6, ,155, ,1,H302,26.74, ,0.017,0.589,1580.54,8.726,1589.74,1730.14,1650.18,79.96,1728.39,0.004,2.37,6.66,172.12,165.1,3, , ,  ,2.5,0.058064516
WAZP99-0649,2001,1,Yes,05/25/2001,05/25/2001,1,K,8.83,H4,529, ,3706.6, ,2.85,H4,6.2, ,10,H4,3.6, ,43.04,H4,17,H75,0,H251,1149.9,H277,1484.9,H227,2929,H244,220.5,H243,1.3, ,739.3, ,266.6, ,981.6, ,410,H75,14,H309,23.99, ,0.001,6.761,3462.369,219.479,3688.43,5785.27,5413.78,371.49,5784.31,0.011,3.32,35.96,615.02,546.03,4, , ,  ,24.11764706,0.252941176
WAZP99-0653,2001,1,Yes,06/28/2001,06/28/2001,1,K,8.17,H5,433, ,3684.9, ,0.959,H5,3.7, ,10,H5,1.36, ,44.27,H5,2, ,1,H228,2655.3,H243,812,H216,1250.7,H214,61.7,H209,0.3, ,568.8,H34,130.2,H25,407,H34,110, ,6,H275,11.58,H8,0.007,1.479,3606.201,50.011,3657.45,4780.02,4635.65,144.37,4779.75,0.011,1.53,13.55,509.09,460.31,2, , ,  ,55,1.05
WAZP99-0669,2001,1,Yes,06/27/2001,06/27/2001,1,F,8.34, ,270, ,2755.5, ,1.19, ,5.2, ,5, ,2.63,H15,34.46, ,72, ,0,H229,2245.6,H244,402.6,H216,152.5,H211,41.9,H210,0.6, ,73.9,H26,179.8,H26,55.8,H26,210, ,4,H276,28.55,H9,0.005,2.188,2811.495,57.671,2871.18,2843.33,3003.97,-160.63,2842.75,0.007,-2.75,26.23,305.57,286.44,2, , ,  ,2.916666667,0.040277778
WAZP99-0681,2001,1,Yes,06/19/2001,06/19/2001,1,F,9.12,H6,427, ,3054.6,H10,0.298,H6,2.2,H16,5,H6,1.99, ,35.54,H4,40, ,0,H237,1962.5,H252,1065.4,H286,1365.6,H223,59.7,H218,0.4, ,371,H34,0,H34,1039.7,H55,133, ,5,H284,34.06,H8,0.001,13.183,2782.451,343.911,3139.47,4453.35,4550.23,-96.88,4453.14,0.01,-1.08,19.89,505.25,457.88,4, ,"CU,S1,S2",  ,3.325,0
WAZP99-0687,2001,1,Yes,05/30/2001,05/30/2001,1,F,7.64,H5,81, ,683.6, ,2.05,H5,1.5, ,15,H5,1.43, ,8.03,H7,39, ,0,H246,386.3,H272,323.6,H222,132.5,H219,11.6,H219,0.3, ,97,H9,0,H9,24.8,H9,55, ,7,H304,20.9,H8,0.023,0.437,634.604,2.597,637.58,854.28,759.48,94.8,853.98,0.002,5.87,14.18,85.8,80.16,5, , ,  ,1.41025641,0
WAZP99-0701,2001,1,Yes,06/26/2001,06/26/2001,1,K,8.19, ,682, ,6027.2, ,1.98, ,11.2, ,15, ,7.03,H16,68.26,H7,69, ,2,H230,3459.8,H245,3041,H218,1061.5,H216,89.4,H211,0.9, ,871.3,H36,440.2,H27,610.1,H36,494, ,9,H277,14.1,H10,0.006,1.549,5562.354,80.775,5644.3,7652.42,7133.23,519.19,7651.56,0.019,3.51,70.07,796.91,714.43,3,"pH syringe - broken tip, difficult to get good reading", ,  ,7.15942029,0.102898551
WAZP99-0712,2002,1,Yes,08/01/2002,08/01/2002,1,X,7.78,H4,2918, ,4512.6, ,10.3,H5,24.8, ,5,H4,0.8,H21,50.42,H9,32, ,0,H607,15209.5, ,8182.8, ,11370.4, ,644.7, ,0.5, ,19998.7,H36,576.6,H34,9641.1,H36,392, ,4.1,H251,18.42,H8,0.016595869,0.602559586,4035.73887,22.80036625,4058.853132,35407.9195,33708.16636,1699.753141,35407.41782,0.0996787,1.22963643,7.974146154,4472.599026,3334.107212,2, , ,  ,12.25,0.290625
WAZP99-0716,2002,1,Yes,06/20/2002,06/20/2002,1,K,7.43,H6,561,H11,5673.5,H12,4.63,H6,7.04, ,5,H5,1.25, ,63.63,H8,16, ,0.1,H624,2669.2, ,2519.3, ,1147, ,74.5, ,0.4, ,122.6,H11,179.8,H11,555.7,H13,109, ,0,H292,24.16,H15,0.037153523,0.26915348,4883.371963,12.32362774,4895.594544,6410.536262,5577.108344,833.4279179,6410.07647,0.013978981,3.476195471,12.31232465,625.8588788,584.673574,5, , ,  ,6.8125,0.18125
WAZP99-0722,2002,1,Yes,07/18/2002,07/18/2002,1,F,7.62,H5,57, ,504.8,H8,1.76,H5,4, ,20,H5,1.98, ,5.99,H5,61, ,0.1,H617,192, ,119.9, ,185.8, ,73.9, ,0.9, ,30.4,H43,86.8,H43,19.5,H43,141, ,0,H265,41.31, ,0.023988329,0.416869384,471.9905022,1.844811618,474.1998808,572.5268466,525.5393232,46.9875234,571.593782,0.00106533,2.13955792,19.58694359,57.81501018,55.46064521,2, , ,  ,2.31147541,0.02295082
WAZP99-0744,2002,1,Yes,08/15/2002,08/15/2002,1,K,8.98, ,250,H257,2252.8, ,12.3,H5,53.76, ,10,H4,2.27, ,25.04,H5,170, ,0,H575,2061.4, ,272.8, ,236.8, ,38.5, ,3.1, ,203.6,H21,1283.4,H21,135.1,H21,771, ,0,H237,11.78,H9,0.001047129,9.54992586,1991.123203,178.2858594,2178.907888,2611.456455,2538.388428,73.06802628,2609.379334,0.006649015,0.709419681,22.71023943,282.8127665,258.7169496,2, , ,  ,4.535294118,0.121764706
WAZP99-0750,2003,1,Yes,07/30/2003,07/30/2003,1,X,7.55,H5,335, ,3370,H9,2.95,H6,8.7,H16,0,H5,1,H19,44.53,H14,80,H30,0,H320,1670.7, ,1266, ,726.4, ,86.5, ,0.2, ,122.2,H35,0,H35,163.3,H35,113,H30,0,H196,50.7,H9,0.028183829,0.354813389,3481.233153,11.58115506,3492.905006,3749.892588,3778.695261,-28.80267349,3749.653976,0.008370028,-0.191288686,9.904992769,387.2445219,362.4386134,3, , ,  ,1.4125,0
WAZP99-0768,2002,1,Yes,09/15/2002,09/15/2002,1,X,8.42,H11,322,H226,3372.3,H13,0.349,H11,3.92,H24,5,H11,0.66,H17,39.31,H11,6, ,0.1,H571,1657.7, ,1764.6, ,121.4, ,27.3, ,0.4,H30,127.9,H17,74.4,H17,82.3,H17,74, ,11.1,H208,6.61,H12,0.003801894,2.630267992,3205.831699,79.06048687,3287.321002,3571.295503,3498.896411,72.39909266,3570.913252,0.008978869,0.512002316,6.563203593,365.4728126,340.3681758,11, , ,  ,12.33333333,0.2
WAZP99-0783,2002,1,Yes,07/16/2002,07/16/2002,1,G,8.32,H6,240, ,2453.8,H9,0.24,H6,5.4, ,5,H6,0.72, ,30.92, ,40,H122,0.4,H602,1392.7, ,856.4, ,421.7, ,44.4, ,0.8, ,39.6,H45,353.4,H45,73.3,H45,210,H122,0,H267,45.92, ,0.004786301,2.089296131,2522.848168,49.42081237,2574.198782,2715.902453,2692.963077,22.93937605,2715.186814,0.006211517,0.212053488,7.17476315,277.9215468,262.6919773,3, , ,  ,5.25,0.1425
WAZP99-0828,2002,1,Yes,08/13/2002,08/13/2002,1,X,8.52, ,135, ,1295.3, ,4.85, ,8.08, ,0, ,2.69, ,14.5, ,46, ,0.3,H576,621.3, ,483.5, ,270.2, ,44.3, ,0.9, ,71,H22,130.2,H22,34.4,H22,409, ,0,H239,18.38, ,0.003019952,3.311311215,1180.825264,36.66100801,1220.744809,1420.030911,1328.346803,91.68410769,1419.231922,0.003192756,1.667967748,26.84420454,143.6192342,135.5009355,2, , ,  ,8.891304348,0.045652174
WAZP99-0833,2003,1,Yes,06/10/2003,06/10/2003,1,F,8.37, ,367, ,3908.3, ,2.91, ,3.3, ,5, ,1.94,H15,43.85, ,8, ,0,H322,2155.2, ,1736.6, ,252, ,28, ,0.7, ,204.7, ,0, ,94.5, ,119, ,6,H246,12.22, ,0.004265795,2.344228815,3577.432717,78.63035565,3658.177045,4172.404591,3957.558001,214.8465895,4171.761484,0.010327579,1.321325819,19.35240997,423.6259297,391.9979539,2, , ,  ,14.875,0
WAZP99-0839,2003,1,Yes,05/06/2003,05/06/2003,1,X,7.73, ,521, ,5368.6,H64,0.298,H6,0.9, ,0,H6,1.96, ,61.89,H7,38,H29,4.3,H288,2897.7,H206,2384,H187,618.1,H246,29.8,H183,0.5, ,215.3,H10,179.8,H10,266,H10,115,H29,0,H281,42.59, ,0.018620871,0.537031796,4934.071615,24.8441541,4959.099706,5930.134837,5443.569781,486.5650562,5929.629584,0.013969592,2.138991088,19.46011143,590.9841483,547.3715002,3, , ,  ,3.026315789,0.076315789
WAZP99-0840,2002,1,Yes,08/14/2002,08/14/2002,1,X,8.16, ,640, ,6165.6, ,3.31,H5,6.4, ,65,H5,20.5, ,69.32,H6,123, ,0.1,H576,3402.7, ,1650.2, ,1292.3, ,97.3, ,3.4, ,14.6,H22,130.2,H22,95.1,H22,1706, ,0,H238,40.87,H10,0.00691831,1.445439771,5645.996034,76.51724667,5723.574974,6445.66708,5835.72864,609.9384398,6442.53149,0.01385668,2.48318047,204.2430392,627.329324,582.7263769,2, , ,  ,13.8699187,0.017073171
WAZP99-0851,2002,1,Yes,08/19/2002,08/19/2002,1,X,8.14, ,1087, ,3429.1, ,2.71, ,3.64, ,10, ,2.44, ,40.31,H4,13, ,0,H571,3024.9, ,1391.1, ,5959.2, ,116.6, ,0.8, ,163.6,H17,266.6,H17,6811.5,H20,250, ,6.5,H233,24.68, ,0.00724436,1.380384265,3281.991075,42.47722739,3325.627896,10492.58183,10305.24423,187.337599,10491.84011,0.01733213,0.450377839,24.27049776,1243.128422,1138.526872,2, , ,  ,19.23076923,0.330769231
WAZP99-0861,2003,1,Yes,05/28/2003,05/28/2003,1,X,8.08, ,505, ,2522.2,H252,232, ,241, ,0, ,0.89, ,29.52, ,221,H35,1.1,H317,2103.3, ,1748.9, ,1298,H184,81.2, ,0.6,H30,2675.6,H29,6020.2, ,273.6, ,1523,H35,13,H259,11.42, ,0.008317638,1.202264435,2399.504107,27.04831797,2427.592375,5231.916815,5474.021489,-242.1046737,5231.369836,0.015185235,-1.130702731,8.864233898,639.5348132,510.541289,33,"Cloudy digestate appears to cause TP interference, 5X dilution used. RW", ,  ,6.891402715,0.439366516
WAZP99-0863,2003,1,Yes,05/14/2003,05/14/2003,1,X,7.27,H5,432,H8,3936.7,H266,4.85,H5,22.2, ,5,H5,1.38, ,44.65,H9,30, ,0,H331,2109.3, ,1870.7, ,711.6, ,45.6, ,0.4, ,257.5, ,0, ,582.7,H9,190, ,0,H273,16.75,H8,0.05370318,0.186208714,3314.461076,5.786709606,3320.154408,4737.685739,4160.713354,576.9723844,4737.207656,0.010814129,3.242001052,13.59806389,476.6288588,444.7637137,3, , ,  ,6.333333333,0
WAZP99-0868,2003,1,Yes,06/03/2003,06/03/2003,1,F,7.47, ,391, ,4259.6, ,0.159, ,0.2, ,0, ,0.89, ,50.85,H9,49,H29,0.2,H311,2484.5, ,1767.9, ,111.4, ,12, ,0.8, ,29.8, ,0, ,70, ,81,H29,0,H253,10.34, ,0.033884416,0.295120923,3929.048299,10.87191712,3939.914228,4376.556748,4039.938817,336.6179316,4375.74902,0.010647776,1.999751138,8.804180514,431.3535497,406.339026,2, , ,  ,1.653061224,0
WAZP99-0876,2003,1,Yes,06/17/2003,06/17/2003,1,X,7.77, ,644, ,4703.3, ,8.43, ,9,H16,5, ,3.89, ,58.43,H7,51, ,0,H247,4631.7, ,1412.5, ,1026.1, ,66.3, ,0.6, ,1818.8,H15,0, ,491.1,H15,404, ,0,H239,25.26,H8,0.016982437,0.588843655,4673.632172,25.80318373,4699.691086,7137.219386,7009.925859,127.2935269,7136.647656,0.018906817,0.449891214,38.63969019,799.4800918,686.7668527,3, , ,  ,7.921568627,0
WAZP99-0888,2003,1,Yes,05/20/2003,05/20/2003,1,X,6.81, ,67,H8,515.8,H16,0.793, ,1.8,H15,0, ,1.77, ,8.33, ,43,H43,0,H325,308.6, ,244.8, ,88.1, ,17.5, ,0.8, ,100.6, ,179.8, ,21.2, ,119,H43,7,H267,19.3,H10,0.154881662,0.064565423,514.2795811,0.311327904,514.4659302,659.9564667,639.2261744,20.73029227,659.018828,0.001630998,0.797820553,17.1922331,69.92002112,64.69409686,3, , ,  ,2.76744186,0.06744186
WAZP99-0893,2003,1,Yes,05/13/2003,05/13/2003,1,X,7,H6,463,H9,3953.1,H267,1.21,H6,6.1, ,0,H6,0.84, ,46.79,H10,12, ,0,H332,2416.7, ,1564.7, ,967.8,H199,46.1, ,0.4, ,236.5, ,130.2, ,770.3,H10,98, ,0,H274,17.98,H9,0.1,0.1,3179.323341,2.980941574,3182.086952,4995.739446,4191.367043,804.372403,4995.284276,0.010924775,4.37772439,8.216479007,498.1281816,466.5648503,4, ,TEAM PUT X FOR TRANSECT,  ,8.166666667,0.175
WAZP99-0906,2003,1,Yes,06/04/2003,06/04/2003,1,X,7.29, ,252, ,2458.2,H9,26.8, ,34.2, ,15, ,4.11, ,33.86, ,113, ,0.1,H310,1276.9, ,726.6, ,626.8, ,51.3, ,1.1, ,111.8, ,0, ,117.1, ,455, ,21,H252,20.55,H9,0.051286138,0.19498446,2525.645087,4.617331837,2530.234513,2682.894582,2759.315703,-76.42112141,2681.71211,0.005901105,-0.702114742,40.5165382,280.3410535,263.5446353,2, , ,  ,4.026548673,0
WCAP99-0501,2001,1,Yes,06/07/2001,06/07/2001,1,X,8.26,H4,1159, ,3887.2,H211,0.186,H4,0.2, ,10,H4,1.81, ,45.24,H4,13, ,0,H240,7194,H264,4388.8,H236,2139,H235,71.3,H230,0.1, ,9279.5,H11,0, ,206.2, ,91, ,9,H296,22.52,H12,0.005,1.82,3689.726,62.952,3754.25,13793.16,13240.16,553,13793.02,0.045,2.05,18.05,1699.81,1251.18,4, , ,  ,7,0
WCAP99-0503,2000,1,Yes,10/03/2000,10/03/2000, ,F,7.52, ,46, ,353.6, ,0.108, ,0,H167,0, ,0.77, ,4.27, ,1, ,1,H350B,221.6, ,46.2,H191,155.6, ,19.4, ,0.5, ,9.6,H8,0,H8,69.4,H8,63, ,18,H392,15.96,H71,0.03,0.331,332.437,1.032,333.75,443.33,412.76,30.56,442.8,0.001,3.57,7.62,45.88,44.74,2, , ,  ,63,0
WCAP99-0505,2000,1,Yes,08/09/2000,08/09/2000, ,X,7.89, ,59, ,545.1, ,0.092, ,0.1,H195,0, ,0.68, ,6.51,H4,2,H55,1,H391B,235.6, ,312.9, ,47.2, ,14.3,H183,0.5, ,31, ,223.2, ,12.4, ,94,H55,41,H446,9.06, ,0.013,0.776,524.921,3.82,529.48,610.47,576.52,33.95,609.98,0.001,2.86,6.76,61.51,58.98,2, , ,  ,47,1.8
WCAP99-0506,2000,1,Yes,08/29/2000,08/29/2000, ,F,7.99, ,91, ,874.6, ,1.35, ,4.8,H197,15, ,2.33, ,10.39, ,45, ,1,H372B,401.6, ,266, ,217.6, ,69.2, ,0.5, ,9.4, ,179.8, ,13.8, ,248, ,25,H426,33.98, ,0.01,0.977,841.868,7.714,850.5,954.93,876.6,78.33,954.44,0.002,4.28,23.19,94.2,91.2,2, , ,  ,5.511111111,0.064444444
WCAP99-0509,2001,1,Yes,08/07/2001,08/07/2001,2,F,7.6, ,24, ,249.2, ,0.2, ,0.4, ,5, ,1.27, ,2.56, ,3,H37,0,H205,106.8,H234,20.6,H223,96.7,H213,17.2,H210,0.8, ,3.7, ,0, ,7.9, ,71,H37,15,H235,14.17,H9,0.025,0.398,201.399,0.752,202.51,241.97,214.19,27.77,241.17,0,6.09,12.59,23.6,23.12,3, , ,  ,23.66666667,0
WCAP99-0512,2001,1,Yes,08/29/2001,08/29/2001,1,F,8.51, ,1623, ,4213.5,H9,0.229, ,0.2, ,5, ,0.88, ,48.21,H7,2,H35,0,H187,3259.2,H212,4133.7,H203,7793.5,H197,59,H188,0.4, ,140.7,H12,2151.4,X1,10928.4,H12,579,H35,12,H213,10.04,H9,0.003,3.236,3927.223,119.153,4049.37,15245.71,15153.47,92.24,15245.4,0.027,0.3,8.78,1838.91,1660.1,2, , ,  ,289.5,17.35
WCAP99-0515,2000,1,Yes,09/28/2000,09/28/2000, ,F,8.07,H4,151, ,1303.7, ,0.147,H7,0.1,H172,0,H6,0.57, ,16.09,H5,2, ,1,H355B,955, ,389.5, ,167.4, ,15, ,0.2, ,165.9,H13,0,H13,37.5,H13,59, ,17,H397,13.81,H76,0.009,1.175,1307.467,14.403,1322.96,1527.1,1526.49,0.61,1526.89,0.004,0.02,5.68,162.49,150.68,4, , ,  ,29.5,0
WCAP99-0521,2000,1,Yes,08/30/2000,08/30/2000, ,F,8.1, ,125, ,1211.9, ,0.177, ,3.6,H196,3, ,0.54, ,14.56, ,4,H35,1,H372B,832.9, ,331.2, ,109, ,8.4, ,0.6, ,67.5,H12,0,H12,12.1,H12,101,H35,23,H425,12.72, ,0.008,1.259,1184.161,13.978,1199.32,1282.08,1278.98,3.09,1281.47,0.003,0.12,5.38,133.44,126.39,2, , ,  ,25.25,0
WCAP99-0527,2001,1,Yes,08/20/2001,08/20/2001,1,F,8.03, ,239, ,2505.6, ,0.156, ,0.1, ,10, ,0.97, ,31.26, ,23,H43,0,H196,840.3,H221,1241.1,H212,536.3,H204,29.1,H197,0.6, ,52.9,H8,489.8,H8,59.5,H8,203,H43,16,H222,61, ,0.009,1.072,2536.803,25.486,2563.19,2647.27,2683.61,-36.34,2646.72,0.006,-0.68,9.66,268.99,254.02,2, , ,  ,8.826086957,0.343478261
